relative_local_path,size_mb,archive_group,public_archive_url,sha256
LBlock/runs/stage_02/stage02_20260718_165358_459976_seed20260718/public/healthy_traces.npz,15.532,traces,[TO BE ADDED],[TO BE GENERATED FROM LOCAL FILE]
LBlock/runs/stage_03/stage03_20260718_170153_519460_seed20260718/public/aligned_healthy_traces.npz,31.042,traces,[TO BE ADDED],[TO BE GENERATED FROM LOCAL FILE]
LBlock/runs/stage_03/stage03_20260718_170153_519460_seed20260718/public/alignment_reference_and_activity.npz,0.032,traces,[TO BE ADDED],[TO BE GENERATED FROM LOCAL FILE]
LBlock/runs/stage_03/stage03_20260718_170153_519460_seed20260718/public/final_round_roi_traces.npz,1.075,traces,[TO BE ADDED],[TO BE GENERATED FROM LOCAL FILE]
LBlock/runs/stage_04/stage04_20260718_171931_573552_seed20260718/public/sbox_dependency_profiles.npz,0.07,traces,[TO BE ADDED],[TO BE GENERATED FROM LOCAL FILE]
LBlock/runs/stage_06/stage06_20260718_175343_608585_seed20260718/public/fault_response_traces.npz,6.322,traces,[TO BE ADDED],[TO BE GENERATED FROM LOCAL FILE]
LBlock/runs/stage_07/stage07_20260718_180834_112047_seed20260718/public_theory/theoretical_fault_bias_arrays.npz,0.008,traces,[TO BE ADDED],[TO BE GENERATED FROM LOCAL FILE]
LBlock/runs/stage_08/stage08_20260718_182609_471595_seed20260718/public/large_fault_campaign_public.csv,21.002,campaign-data,[TO BE ADDED],[TO BE GENERATED FROM LOCAL FILE]
LBlock/runs/stage_08/stage08_20260718_182609_471595_seed20260718/public/large_fault_response_traces.npz,33.653,traces,[TO BE ADDED],[TO BE GENERATED FROM LOCAL FILE]
LBlock/runs/stage_09/stage09_20260718_184149_756498_seed20260718/public_ml/final_attack_payload_public.csv,2.684,campaign-data,[TO BE ADDED],[TO BE GENERATED FROM LOCAL FILE]
LBlock/runs/stage_09/stage09_20260718_184149_756498_seed20260718/public_ml/ml_tabular_features_public.csv,23.237,campaign-data,[TO BE ADDED],[TO BE GENERATED FROM LOCAL FILE]
LBlock/runs/stage_09/stage09_20260718_184149_756498_seed20260718/public_ml/ml_trace_views_public.npz,55.689,traces,[TO BE ADDED],[TO BE GENERATED FROM LOCAL FILE]
LBlock/runs/stage_09/stage09_20260718_184149_756498_seed20260718/public_ml/strict_source_disjoint_experiment_ids.npz,0.032,traces,[TO BE ADDED],[TO BE GENERATED FROM LOCAL FILE]
LBlock/runs/stage_09/stage09_20260718_184149_756498_seed20260718/public_ml/strict_source_disjoint_membership.csv,1.826,campaign-data,[TO BE ADDED],[TO BE GENERATED FROM LOCAL FILE]
LBlock/runs/stage_10/stage10_20260718_185539_664419_seed20260718/models/fault_quality_deployment_model.joblib,0.022,models,[TO BE ADDED],[TO BE GENERATED FROM LOCAL FILE]
LBlock/runs/stage_10/stage10_20260718_185539_664419_seed20260718/models/selected_test_evaluation_model.joblib,0.021,models,[TO BE ADDED],[TO BE GENERATED FROM LOCAL FILE]
LBlock/runs/stage_10/stage10_20260718_185539_664419_seed20260718/predictions/development_quality_probabilities_public.csv,10.782,campaign-data,[TO BE ADDED],[TO BE GENERATED FROM LOCAL FILE]
LBlock/runs/stage_11/stage11_20260718_191029_290452_seed20260718/models/glitch_surrogate_extra_trees.joblib,159.97,models,[TO BE ADDED],[TO BE GENERATED FROM LOCAL FILE]
LBlock/runs/stage_11/stage11_20260718_191029_290452_seed20260718/models/glitch_surrogate_ridge.joblib,0.002,models,[TO BE ADDED],[TO BE GENERATED FROM LOCAL FILE]
LBlock/runs/stage_11/stage11_20260718_191029_290452_seed20260718/models/pre_injection_glitch_optimizer.joblib,159.97,models,[TO BE ADDED],[TO BE GENERATED FROM LOCAL FILE]
LBlock/runs/stage_11/stage11_20260718_191029_290452_seed20260718/models/pre_injection_support_model.joblib,11.888,models,[TO BE ADDED],[TO BE GENERATED FROM LOCAL FILE]
LBlock/runs/stage_12/stage12_20260718_194244_616539_seed20260718/public_closed_loop/closed_loop_campaign_public.csv,9.149,campaign-data,[TO BE ADDED],[TO BE GENERATED FROM LOCAL FILE]
LBlock/runs/stage_12/stage12_20260718_194244_616539_seed20260718/public_closed_loop/closed_loop_response_traces.npz,12.616,traces,[TO BE ADDED],[TO BE GENERATED FROM LOCAL FILE]
LBlock/runs/stage_13R_paper_sifa/stage13R_20260718_204027_736343_seed20260721/public_campaign/paired_fault_campaign_public.csv,14.377,campaign-data,[TO BE ADDED],[TO BE GENERATED FROM LOCAL FILE]
LBlock/runs/stage_13R_paper_sifa/stage13R_20260718_204027_736343_seed20260721/public_campaign/paired_response_traces_public.npz,12.661,traces,[TO BE ADDED],[TO BE GENERATED FROM LOCAL FILE]
LBlock/runs/stage_13R_paper_sifa/stage13R_20260718_204027_736343_seed20260721/public_campaign/parameter_and_yield_summary_public.csv,0.001,campaign-data,[TO BE ADDED],[TO BE GENERATED FROM LOCAL FILE]
LBlock/runs/stage_13R_paper_sifa/stage13R_20260718_204027_736343_seed20260721/public_campaign/selected_ineffective_ciphertexts_public.csv,0.858,campaign-data,[TO BE ADDED],[TO BE GENERATED FROM LOCAL FILE]
LBlock/runs/stage_13R_paper_sifa/stage13R_20260718_204027_736343_seed20260721/public_campaign/stage10_quality_probabilities_public.csv,4.813,campaign-data,[TO BE ADDED],[TO BE GENERATED FROM LOCAL FILE]
LBlock/runs/stage_13R_paper_sifa_v2/stage13R_v2_20260718_210424_794132_seed20260722/public_campaign/paired_fault_campaign_public.csv,15.732,campaign-data,[TO BE ADDED],[TO BE GENERATED FROM LOCAL FILE]
LBlock/runs/stage_13R_paper_sifa_v2/stage13R_v2_20260718_210424_794132_seed20260722/public_campaign/paired_response_traces_public.npz,12.661,traces,[TO BE ADDED],[TO BE GENERATED FROM LOCAL FILE]
LBlock/runs/stage_13R_paper_sifa_v2/stage13R_v2_20260718_210424_794132_seed20260722/public_campaign/parameter_and_yield_summary_public.csv,0.001,campaign-data,[TO BE ADDED],[TO BE GENERATED FROM LOCAL FILE]
LBlock/runs/stage_13R_paper_sifa_v2/stage13R_v2_20260718_210424_794132_seed20260722/public_campaign/selected_ineffective_ciphertexts_public.csv,0.91,campaign-data,[TO BE ADDED],[TO BE GENERATED FROM LOCAL FILE]
