round_number,x_prev2_index,x_prev1_index,x_new_index,x_prev2_hex,x_prev1_hex,round_key_hex,xor_input_hex,sbox_inputs_hex_high_to_low,sbox_outputs_hex_high_to_low,p_output_hex,rotated_x_prev2_hex,x_new_hex
1,0,1,2,00000000,00000000,00000000,00000000,00000000,db2e714e,bed21e74,00000000,bed21e74
2,1,2,3,00000000,bed21e74,b8000000,06d21e74,06d21e74,da8f68ad,afd88d6a,00000000,afd88d6a
3,2,3,4,bed21e74,afd88d6a,bb000000,14d88d6a,14d88d6a,a0819408,01a84890,d21e74be,d3b63c2e
4,3,4,5,afd88d6a,d3b63c2e,580002e0,8bb63ece,8bb63ece,273cb82c,7c238cb2,d88d6aaf,a4aee61d
5,4,5,6,d3b63c2e,a4aee61d,5b0002ed,ffaee4f0,ffaee4f0,62664f3e,2666fe43,b63c2ed3,905ad090
6,5,6,7,a4aee61d,905ad090,18000161,885ad1f1,885ad1f1,26e42e39,642ee923,aee61da4,cac8f487
7,6,7,8,905ad090,cac8f487,fb01716d,31c985ea,31c985ea,09189d18,9801d891,5ad09090,c2d14801
8,7,8,9,cac8f487,c2d14801,c8017461,0ad03c60,0ad03c60,d58eb20e,5ed82eb0,c8f487ca,962ca97a
9,8,9,10,c2d14801,962ca97a,0b00b3ee,9d2c1a94,9d2c1a94,18bb69cd,8b1b9d6c,d14801c2,5a539cae
10,9,10,11,962ca97a,5a539cae,e8b8b722,b2eb2b8c,b2eb2b8c,34498377,49343787,2ca97a96,659d4d11
11,10,11,12,5a539cae,659d4d11,7bba302e,1e277d3f,1e277d3f,a1bde495,1dab45e9,539cae5a,4e37ebb3
12,11,12,13,659d4d11,4e37ebb3,a859f7a0,e66e1c13,e66e1c13,ca0662b0,a6c0206b,9d4d1165,3b8d310e
13,12,13,14,4e37ebb3,3b8d310e,bf5b91ed,84d6a0e3,84d6a0e3,208cc110,0c2810c1,37ebb34e,3bc3a38f
14,13,14,15,3b8d310e,3bc3a38f,c41816a2,ffdbb52d,ffdbb52d,6289dde6,2968d6de,8d310e3b,a459d8e5
15,14,15,16,3bc3a38f,a459d8e5,7ffbd2fe,dba20a1b,dba20a1b,576f79b3,7f56937b,c3a38f3b,bcf51c40
16,15,16,17,a459d8e5,bcf51c40,a4c8f713,183deb53,183deb53,a6ca43d0,6aac304d,59d8e5a4,3374d5e9
17,16,17,18,bcf51c40,3374d5e9,df0b51fb,ec7f8412,ec7f8412,c3939fbf,33c9ff9b,f51c40bc,c6d5bf27
18,17,18,19,3374d5e9,c6d5bf27,d4e97e97,123cc1b0,123cc1b0,a4cb5e6e,4bacee56,74d5e933,3f790765
19,18,19,20,c6d5bf27,3f790765,327b8b78,0d028c1d,0d028c1d,d82f92b6,8fd2269b,d5bf27c6,5a6d015d
20,19,20,21,3f790765,5a6d015d,5da8ff57,07c5fe0a,07c5fe0a,dd121848,d2d18814,7907653f,abd6ed2b
21,20,21,22,5a6d015d,abd6ed2b,32bf48cc,9969a5e7,9969a5e7,1c08cd1b,c810dbc1,6d015d5a,a511869b
22,21,22,23,abd6ed2b,a511869b,84c5bd73,21d43be8,21d43be8,f987b311,97f831b1,d6ed2bab,41151a1a
23,22,23,24,a511869b,41151a1a,d27fa8cf,936ab2d5,936ab2d5,1e04d784,e41074d8,11869ba5,f596ef7d
24,23,24,25,41151a1a,f596ef7d,33a46616,c632896b,c632896b,7acf9503,af7c5390,151a1a41,ba6649d1
25,24,25,26,f596ef7d,ba6649d1,a9debb4f,13b8f29e,13b8f29e,ae3117cc,e1a37c1c,96ef7df5,774c01e9
26,25,26,27,ba6649d1,774c01e9,63d464c8,14986521,14986521,a0a13de9,01aad93e,6649d1ba,67e30884
27,26,27,28,774c01e9,67e30884,59330aa1,3ed00225,3ed00225,018e77e4,1e08747e,4c01e977,52099d09
28,27,28,29,67e30884,52099d09,035da589,51543880,51543880,49e7bb7e,974ebeb7,e3088467,74463ad0
29,28,29,30,52099d09,74463ad0,0e326563,7a745fb3,7a745fb3,b597fa60,57b9a0f6,099d0952,5e24a9a4
30,29,30,31,74463ad0,5e24a9a4,dc85500a,82a1f9ae,82a1f9ae,2465155c,45265c15,463ad074,031c8c61
31,30,31,32,5e24a9a4,031c8c61,70d2c43f,73ce485e,73ce485e,be160bdc,e6b1bc0d,24a9a45e,c2181853
32,31,32,33,031c8c61,c2181853,3c32b375,fe2aab26,fe2aab26,61b4c3ea,146b3ace,1c8c6103,08e75bcd
