trace_id,key_id,session_id,plaintext_class,plaintext_hex,ciphertext_hex,global_trigger_sample,sampling_rate_hz,number_of_samples,trace_sha256
0,1,2,random,54fd2c9f990a17e2,988dd40a68e9002f,96,100000000.0,4288,55c3fabb0995fc06264310d7480e2965dc8b18515fbda25d9a0f8d325ba559b1
1,0,1,random,c61c0072c5b857df,d6e31f728318ab40,96,100000000.0,4288,84153415633a416c715bea989a1e33e6a8ac69ab33cc881cee305511c5599411
2,2,0,random,deb8155fe29aef14,18c158a7a1f4f39a,96,100000000.0,4288,8688e47fc487c244902ed1982b87d158b2986169982ed48643f6ee94c01d9a98
3,3,0,random,ebc43a304724c7d9,95c3177fe1709186,96,100000000.0,4288,ce80497b241768f25d22817cf938f89a388231e3e670eafc35fe49632e7c542f
4,3,2,random,bd2a9e1791331b63,845aa287eca8b164,96,100000000.0,4288,b9ba1ec2180d4dae9b45639ca17fd7f512c18b9c0666bedb0a57b7b6e13cb848
5,3,3,random,33c0a988336828d8,4a5c44a7111cf7e8,96,100000000.0,4288,796be1e4e7a7604784e8d2c68b83c53aa0fffabe5cf6fb9c43f079d883bae73f
6,3,3,random,658ca1d427cb6dd8,c6084181df39abdf,96,100000000.0,4288,9beebd400c1d03db6ce3b2c14bb2f6ffb3789b711d0438c20c2160632235aa50
7,2,3,random,6733f1fb7edefaf5,b4d6f4dbb72ddb85,96,100000000.0,4288,3c8efd06ad153140f8b18ed9404587b955592fed6bf0f49e4ddda3b827738c75
8,1,2,random,2ff9f145db155fe3,5900a04f0e5e80ce,96,100000000.0,4288,57dd2baa5de79cd45e146d1b56b2af6499536c7c4a2b5fd0ce403eee0f935a10
9,1,1,random,888b2b73911878b7,84fb8f8d22b4a366,96,100000000.0,4288,21f39d4f7188540aa85fcd2a2f501d6402f6377fa825bd468958e5c3872d8c4b
10,1,2,random,9608060982a47143,4e254fed115328ad,96,100000000.0,4288,2884873d4f81a3dca4cdd70829c899cf2b353c17caafcd8db63bc7b1f7dd08c6
11,1,0,random,58c3f799c2545ac3,8111b0b90db38063,96,100000000.0,4288,7a2af4ede90fea41344ed0cab60e430744902f26e888dc7ecbf7dd503c9047a5
12,2,0,walking_one,0000000000000001,31c87cd2dc1907bd,96,100000000.0,4288,a7bcdb97dc9b9a3253e23e2c6a20f962cd10706048a4b4c74131aab891764c56
13,3,0,walking_zero,fffffffffffffffe,e139dad4861b7529,96,100000000.0,4288,1f680205b877253c6beac0d24a1e66b46244c729442c493b0ef7b43381b4e4bf
14,1,2,repeated_nibble,0000000000000000,7ec99b4d2d6e6447,96,100000000.0,4288,b72b276abf5f8c80886eab1ebe20728289ecf2b1cec7123f8d345d1ce4b8ba7d
15,1,0,counter,454021de755d453b,415b1b062c7ecc06,96,100000000.0,4288,75b90003c636e25ea55fdc93fa8d4963e23c3cadf01088ddd7bed12c41b28614
16,0,0,random,26f9d64c290c99fc,853534861e37ef6c,96,100000000.0,4288,d35c61f8948880848dd8894b6aaf12fed70b7bda0c990138931222b996c4ec8d
17,2,2,random,f2f98b4341e95d77,bf79eee4bc9096c9,96,100000000.0,4288,62f5e3ad7d8bc0ceff6ca6057ae64ce77fda9cdc93990740793fb6327076cf0d
18,3,3,random,33f7435496392594,132b02895e6222e5,96,100000000.0,4288,197d74551de3a00b25f4e68779374bd594fa6671168b9a824027903e211438a3
19,2,0,random,ffcee54bb2bfe82b,2f90087a0fcd4b14,96,100000000.0,4288,7f768ef661aa3cd9932cedfabd66aa38842ef2fa791033431e7a5b63424fd58a
20,2,2,random,1e5faabbee84c7e5,f0d54697cfd2162e,96,100000000.0,4288,71e047826e151ce9203556bb20d773d428181c849096ec0a084ba8e04987d3a3
21,3,1,random,479fa263299c93ae,caebd94ad3ccb0f7,96,100000000.0,4288,8df54de2f2cf83ddcf288367443af2ce0f0d6987abed9ca2d8708ec280eb856b
22,1,3,random,39d37c4aafcfffe1,a873f8252fe400a9,96,100000000.0,4288,fb43b7841cd6e4206624f2506d9b04c579cae4e493edb060dab0ae9a49c43970
23,3,3,random,b378552c60861905,eb9d38cc80bcfd03,96,100000000.0,4288,59377f2a9bda3053e3edf83ce29f857cb3c348ff5e5fff3c1c634d9704b4e6c6
24,0,2,random,8e4f5c086b06dd64,613ebf3acbb5a115,96,100000000.0,4288,feaedc611c0fcc857824afe9c4e379bd5f53b247230318dba9ace9d83e1a9bcc
25,0,1,random,88a22ed8268cbaf9,996556000a4f3199,96,100000000.0,4288,35dd927acc370ba7f02d9ad348988eafbaac2e5091c64d8a86b3aa7de9d07bf7
26,0,3,random,486b11125707eef4,0b8c985317b58031,96,100000000.0,4288,a54285eb9fc0d37d2ddf85f9ce087a445fcd97dc9dffbc6e94771dd4c24bfe7b
27,2,3,random,d193a558465e62b3,893cbc5cd80bc2d3,96,100000000.0,4288,b770c0a1154333f9c7089691ae6b44e069ed9419ef95ecd7188e0f463b67f7c8
28,0,1,walking_one,0000000000000002,e45bc5c348147b04,96,100000000.0,4288,81d47d26cb1e633cf15941458be9a3af961b5a9a49cdabc12050fb3a6dd2c442
29,0,1,walking_zero,fffffffffffffffd,7a6d623cad17d1b5,96,100000000.0,4288,a89cd76da6a42b6982f71036f7171b20f22710957ebb3b0935d7c891acc8f2e8
30,1,1,repeated_nibble,1111111111111111,977b70a90c0c8194,96,100000000.0,4288,23c258650af173659a9a04220ebb1619e89ee62bf9480b9c6e4014b9c4af7957
31,0,1,counter,28b7bd766a05068b,f165fb46e9b67bf2,96,100000000.0,4288,b64f6d5493112c1b7e9ba7dd8a6c50c069dc5974db6bae3fa1a0a386ca03e3c3
32,2,3,random,c955ec03941e3a91,2fa89f106c5ba7a2,96,100000000.0,4288,7540d8991c0d7c7777abad69ec140552a169d114d1cd58efd027f0df016eb3d6
