trace_id,key_id,session_id,plaintext_class,plaintext_hex,ciphertext_hex,global_trigger_sample,sampling_rate_hz,number_of_samples,trace_sha256,global_alignment_shift_samples,affine_residual_intercept_samples,affine_residual_slope_samples_per_sample,affine_residual_slope_ppm,reference_correlation_before,reference_correlation_after
0,1,2,random,54fd2c9f990a17e2,988dd40a68e9002f,96,100000000.0,4288,55c3fabb0995fc06264310d7480e2965dc8b18515fbda25d9a0f8d325ba559b1,0,1.2157167525874686,-0.0007896738195901631,-789.673819590163,0.09893839501086286,0.1455977410490571
1,0,1,random,c61c0072c5b857df,d6e31f728318ab40,96,100000000.0,4288,84153415633a416c715bea989a1e33e6a8ac69ab33cc881cee305511c5599411,1,-1.0283061490551617,0.0007302238935253707,730.2238935253706,0.12671493462790062,0.20301648991721366
2,2,0,random,deb8155fe29aef14,18c158a7a1f4f39a,96,100000000.0,4288,8688e47fc487c244902ed1982b87d158b2986169982ed48643f6ee94c01d9a98,-6,8.0,-0.0026324770589680924,-2632.4770589680925,0.08772330458516521,0.12201669286512537
3,3,0,random,ebc43a304724c7d9,95c3177fe1709186,96,100000000.0,4288,ce80497b241768f25d22817cf938f89a388231e3e670eafc35fe49632e7c542f,1,2.118286382019212,-0.0027306324828881103,-2730.63248288811,0.15942328464486535,0.27987728460985195
4,3,2,random,bd2a9e1791331b63,845aa287eca8b164,96,100000000.0,4288,b9ba1ec2180d4dae9b45639ca17fd7f512c18b9c0666bedb0a57b7b6e13cb848,1,0.9211488720290493,-0.0008743117072119381,-874.3117072119381,0.11413909787227311,0.21757049561595465
5,3,3,random,33c0a988336828d8,4a5c44a7111cf7e8,96,100000000.0,4288,796be1e4e7a7604784e8d2c68b83c53aa0fffabe5cf6fb9c43f079d883bae73f,0,1.0187271653927576,-0.0007345787203410528,-734.5787203410528,0.152579810958638,0.2056637258074275
6,3,3,random,658ca1d427cb6dd8,c6084181df39abdf,96,100000000.0,4288,9beebd400c1d03db6ce3b2c14bb2f6ffb3789b711d0438c20c2160632235aa50,7,-1.8089308748030604,0.0008583302210143254,858.3302210143254,0.03242443418219209,0.20095358223635498
7,2,3,random,6733f1fb7edefaf5,b4d6f4dbb72ddb85,96,100000000.0,4288,3c8efd06ad153140f8b18ed9404587b955592fed6bf0f49e4ddda3b827738c75,1,3.733783615206626,0.0007101878056057405,710.1878056057404,0.1347593299744955,0.01437023248357312
8,1,2,random,2ff9f145db155fe3,5900a04f0e5e80ce,96,100000000.0,4288,57dd2baa5de79cd45e146d1b56b2af6499536c7c4a2b5fd0ce403eee0f935a10,1,-1.0216494029773173,0.00039923170266791745,399.23170266791743,0.15123929705573372,0.20293371415628833
9,1,1,random,888b2b73911878b7,84fb8f8d22b4a366,96,100000000.0,4288,21f39d4f7188540aa85fcd2a2f501d6402f6377fa825bd468958e5c3872d8c4b,-1,-1.9129916383360348,0.0009651696404711606,965.1696404711606,0.1033590233040288,0.19772087442061637
10,1,2,random,9608060982a47143,4e254fed115328ad,96,100000000.0,4288,2884873d4f81a3dca4cdd70829c899cf2b353c17caafcd8db63bc7b1f7dd08c6,0,-1.948744671371254,0.0007806067089550404,780.6067089550404,0.0891762144822793,0.16569333269305486
11,1,0,random,58c3f799c2545ac3,8111b0b90db38063,96,100000000.0,4288,7a2af4ede90fea41344ed0cab60e430744902f26e888dc7ecbf7dd503c9047a5,1,0.6244146545211068,-0.0013704789001330333,-1370.4789001330332,0.13656739784326485,0.17711936384824317
12,2,0,walking_one,0000000000000001,31c87cd2dc1907bd,96,100000000.0,4288,a7bcdb97dc9b9a3253e23e2c6a20f962cd10706048a4b4c74131aab891764c56,-1,1.5419368492659606,-0.00261318326658285,-2613.1832665828497,0.14819672685613222,0.3261254662742394
13,3,0,walking_zero,fffffffffffffffe,e139dad4861b7529,96,100000000.0,4288,1f680205b877253c6beac0d24a1e66b46244c729442c493b0ef7b43381b4e4bf,1,1.5272811999442277,-0.002676365499866488,-2676.365499866488,0.14357057830371933,0.2674534006147897
14,1,2,repeated_nibble,0000000000000000,7ec99b4d2d6e6447,96,100000000.0,4288,b72b276abf5f8c80886eab1ebe20728289ecf2b1cec7123f8d345d1ce4b8ba7d,-2,-0.2595111182918265,-9.084730395224853e-06,-9.084730395224852,0.1004551476824906,0.2390692191126028
15,1,0,counter,454021de755d453b,415b1b062c7ecc06,96,100000000.0,4288,75b90003c636e25ea55fdc93fa8d4963e23c3cadf01088ddd7bed12c41b28614,-4,3.4463833834269675,-0.003175412411552411,-3175.412411552411,0.047650886312244393,0.2524884621239955
16,0,0,random,26f9d64c290c99fc,853534861e37ef6c,96,100000000.0,4288,d35c61f8948880848dd8894b6aaf12fed70b7bda0c990138931222b996c4ec8d,-4,2.5994060587581256,-0.003228334588101271,-3228.334588101271,0.021601452418752984,0.25566617202554953
17,2,2,random,f2f98b4341e95d77,bf79eee4bc9096c9,96,100000000.0,4288,62f5e3ad7d8bc0ceff6ca6057ae64ce77fda9cdc93990740793fb6327076cf0d,-1,-0.6464255785617004,0.0014948447033372519,1494.844703337252,0.09523011542191168,0.07568362966894436
18,3,3,random,33f7435496392594,132b02895e6222e5,96,100000000.0,4288,197d74551de3a00b25f4e68779374bd594fa6671168b9a824027903e211438a3,5,-1.1227721361262808,0.0004421746443991118,442.1746443991118,0.03931828667713458,0.20498265998462295
19,2,0,random,ffcee54bb2bfe82b,2f90087a0fcd4b14,96,100000000.0,4288,7f768ef661aa3cd9932cedfabd66aa38842ef2fa791033431e7a5b63424fd58a,-1,-0.45456407529159976,-0.0007880397058690726,-788.0397058690727,0.13398521948889933,0.13365468978478612
20,2,2,random,1e5faabbee84c7e5,f0d54697cfd2162e,96,100000000.0,4288,71e047826e151ce9203556bb20d773d428181c849096ec0a084ba8e04987d3a3,1,1.9317392984111934,-0.00042219094343393213,-422.19094343393215,0.13485213273623506,0.22877244698970778
