bootstrap_index,first_center_sample,spacing_samples,comb_score,S0_center,S1_center,S2_center,S3_center,S4_center,S5_center,S6_center,S7_center
0,4083,9,24.06841237922186,4083,4092,4101,4110,4119,4128,4137,4146
1,4083,9,26.420473327502084,4083,4092,4101,4110,4119,4128,4137,4146
2,4083,9,23.321019924647125,4083,4092,4101,4110,4119,4128,4137,4146
3,4083,9,22.438160493315678,4083,4092,4101,4110,4119,4128,4137,4146
4,4083,9,23.57048727512254,4083,4092,4101,4110,4119,4128,4137,4146
5,4083,9,23.233013667463517,4083,4092,4101,4110,4119,4128,4137,4146
6,4083,9,24.00653413666541,4083,4092,4101,4110,4119,4128,4137,4146
7,4083,9,25.191555557528602,4083,4092,4101,4110,4119,4128,4137,4146
8,4083,9,25.588297707023607,4083,4092,4101,4110,4119,4128,4137,4146
9,4083,9,24.55530294606023,4083,4092,4101,4110,4119,4128,4137,4146
10,4083,9,25.961843730048024,4083,4092,4101,4110,4119,4128,4137,4146
11,4083,9,24.894172978667505,4083,4092,4101,4110,4119,4128,4137,4146
12,4083,9,23.42602830149577,4083,4092,4101,4110,4119,4128,4137,4146
13,4083,9,23.7439769017806,4083,4092,4101,4110,4119,4128,4137,4146
14,4083,9,24.866533480020742,4083,4092,4101,4110,4119,4128,4137,4146
15,4083,9,25.552914537654406,4083,4092,4101,4110,4119,4128,4137,4146
16,4083,9,26.01271465746353,4083,4092,4101,4110,4119,4128,4137,4146
17,4083,9,22.97974505797318,4083,4092,4101,4110,4119,4128,4137,4146
18,4083,9,26.69256818702131,4083,4092,4101,4110,4119,4128,4137,4146
19,4083,9,26.733691382125027,4083,4092,4101,4110,4119,4128,4137,4146
20,4083,9,25.787682821295714,4083,4092,4101,4110,4119,4128,4137,4146
21,4083,9,24.515122616435526,4083,4092,4101,4110,4119,4128,4137,4146
22,4083,9,26.437043389156695,4083,4092,4101,4110,4119,4128,4137,4146
23,4083,9,25.69106635584452,4083,4092,4101,4110,4119,4128,4137,4146
24,4083,9,23.12480089418703,4083,4092,4101,4110,4119,4128,4137,4146
25,4083,9,25.344813699384073,4083,4092,4101,4110,4119,4128,4137,4146
26,4083,9,22.80781599536886,4083,4092,4101,4110,4119,4128,4137,4146
27,4083,9,22.171721176856998,4083,4092,4101,4110,4119,4128,4137,4146
28,4083,9,21.724584134597322,4083,4092,4101,4110,4119,4128,4137,4146
29,4083,9,25.956117159158847,4083,4092,4101,4110,4119,4128,4137,4146
30,4083,9,23.220847196507215,4083,4092,4101,4110,4119,4128,4137,4146
31,4083,9,22.822886172452847,4083,4092,4101,4110,4119,4128,4137,4146
32,4083,9,24.486996806752437,4083,4092,4101,4110,4119,4128,4137,4146
33,4083,9,24.374692492533256,4083,4092,4101,4110,4119,4128,4137,4146
34,4083,9,24.503637963852096,4083,4092,4101,4110,4119,4128,4137,4146
35,4083,9,22.97084854543876,4083,4092,4101,4110,4119,4128,4137,4146
36,4083,9,25.972396961211917,4083,4092,4101,4110,4119,4128,4137,4146
37,4083,9,27.39722729687459,4083,4092,4101,4110,4119,4128,4137,4146
38,4083,9,26.723543613972268,4083,4092,4101,4110,4119,4128,4137,4146
39,4083,9,21.234206890009045,4083,4092,4101,4110,4119,4128,4137,4146
40,4083,9,23.459850080431913,4083,4092,4101,4110,4119,4128,4137,4146
41,4083,9,27.31781591014882,4083,4092,4101,4110,4119,4128,4137,4146
42,4083,9,23.890464317304033,4083,4092,4101,4110,4119,4128,4137,4146
43,4083,9,24.01929184951084,4083,4092,4101,4110,4119,4128,4137,4146
44,4083,9,25.89537321363986,4083,4092,4101,4110,4119,4128,4137,4146
45,4083,9,23.70365323629573,4083,4092,4101,4110,4119,4128,4137,4146
46,4083,9,25.07525013673953,4083,4092,4101,4110,4119,4128,4137,4146
47,4083,9,27.99379557283819,4083,4092,4101,4110,4119,4128,4137,4146
48,4083,9,23.991506952379456,4083,4092,4101,4110,4119,4128,4137,4146
49,4083,9,23.297144836517987,4083,4092,4101,4110,4119,4128,4137,4146
50,4083,9,24.335758534560334,4083,4092,4101,4110,4119,4128,4137,4146
51,4083,9,25.265623982415654,4083,4092,4101,4110,4119,4128,4137,4146
52,4083,9,24.939043566030602,4083,4092,4101,4110,4119,4128,4137,4146
53,4083,9,23.730105698256768,4083,4092,4101,4110,4119,4128,4137,4146
54,4083,9,25.092143659996275,4083,4092,4101,4110,4119,4128,4137,4146
55,4083,9,25.027615137468548,4083,4092,4101,4110,4119,4128,4137,4146
56,4083,9,23.624157769958746,4083,4092,4101,4110,4119,4128,4137,4146
57,4083,9,21.507150150130713,4083,4092,4101,4110,4119,4128,4137,4146
58,4083,9,23.59082712398159,4083,4092,4101,4110,4119,4128,4137,4146
59,4083,9,24.276493877544965,4083,4092,4101,4110,4119,4128,4137,4146
60,4083,9,23.225458536588636,4083,4092,4101,4110,4119,4128,4137,4146
61,4083,9,24.599287506004217,4083,4092,4101,4110,4119,4128,4137,4146
62,4082,9,24.970523520877272,4082,4091,4100,4109,4118,4127,4136,4145
63,4083,9,27.05852240575752,4083,4092,4101,4110,4119,4128,4137,4146
