absolute_sample,roi_relative_sample,S0_eta_squared,S0_permutation_z,S0_specificity,S1_eta_squared,S1_permutation_z,S1_specificity,S2_eta_squared,S2_permutation_z,S2_specificity,S3_eta_squared,S3_permutation_z,S3_specificity,S4_eta_squared,S4_permutation_z,S4_specificity,S5_eta_squared,S5_permutation_z,S5_specificity,S6_eta_squared,S6_permutation_z,S6_specificity,S7_eta_squared,S7_permutation_z,S7_specificity
4049,0,0.060724123342843966,0.1196092607881634,0.32663354205885414,0.06256992677897881,-0.1452062114703911,-0.28082511985018277,0.03875540884597835,-0.8635286454834488,-1.5871841228675,0.04434735726433825,-0.5531624295098598,-0.9143410335003417,0.08557463551360918,2.101759989404087,3.566172367960644,0.0598306697539691,0.3915752337324523,0.6389549910614207,0.0533016045613917,0.05067718683151344,-0.30682958095254376,0.07219415385163609,1.137562566698528,0.7269983149641044
4050,1,0.05580174464737809,-0.01617579523193105,0.035786161495836286,0.048449524540246716,-0.3197789792746978,-0.4820499092046955,0.06004030669714469,-0.053553046434123314,-0.4997694365535087,0.07366377518546884,-0.16884179810597594,-0.3228659836333244,0.0656965720565491,1.362123771664198,2.0787607668373216,0.0623054802768011,0.5838072141032755,0.8588728129908124,0.07661323588801149,0.29125974494682094,0.10534701823378556,0.07171515269956942,0.8185839550488697,0.2755489011235503
4051,2,0.06750061961400013,0.17270669317884305,0.33378992591764495,0.05394252463422196,-0.4134449095868933,-0.6567037827647964,0.06536392302691592,0.49769006039939256,0.26150544382641766,0.05181198941295453,-0.17731360508822952,-0.3779790748001154,0.06658700698482148,0.8748225330658919,1.1948131460817528,0.06760018195476702,0.8058367225964126,1.256227440640853,0.05775398977394324,0.19072158001706993,-0.10202965718703548,0.06842704755883568,0.4586681718148829,-0.18728494542789478
4052,3,0.047860965939124735,0.22404124260563363,0.433615481587823,0.060301186957828795,-0.40132172700077606,-0.6809111097498839,0.07758074214737629,0.5891657562429758,0.41208791020180113,0.04544671173026797,-0.12579158387839656,-0.34583435153339825,0.066402800181018,0.5108789094685888,0.5426093860581191,0.0694436108521851,0.8572828619406528,1.3733624230929555,0.055378309126953205,0.1264168398593246,-0.23684280005247516,0.049929964256782686,0.12393921663646347,-0.6021650292142077
4053,4,0.08011651824696325,0.8744996509775735,1.2502913815856755,0.04604216834322123,-0.453011235719434,-0.6974384695401697,0.04821680697003979,0.1881201302244521,-0.21665083555414755,0.06607774516693747,0.017393381781338788,-0.08578674454751936,0.06518027472804434,0.35636086248705523,0.21856681371895645,0.06623872359036634,0.74673973438145,1.1588088739814006,0.06487771557759375,0.3990836851177175,0.29492999450442187,0.062426754672170126,-0.010159122860077918,-0.6957510242777113
4054,5,0.06761301115333956,1.025567059550752,1.4889965388453714,0.06349639369769591,-0.3301846087971732,-0.4969561946839122,0.05387603081598935,0.1980724172855761,-0.1759294379689815,0.06321371419425706,0.1197045957250201,0.18016349304659834,0.05260785776462092,0.15060521396477647,-0.21967699279165243,0.061018286874922376,0.5988872755272926,0.95760847860651,0.06518387495214768,0.8626310818435949,1.010767735604043,0.060256446244497025,-0.14676530356506268,-0.8203350966188819
4055,6,0.07815856350303917,1.1299057723728803,1.5409384016529946,0.05353456271023051,-0.2419716153737536,-0.5572641569265784,0.06663010188874996,0.8331954701654574,0.6501196512323566,0.060062675031993334,0.10379803486560353,-0.11906748707813448,0.05993403266282444,0.16792601512250374,-0.37133255490965617,0.06325350123185222,0.44585914179723085,0.6222126119389324,0.08398060251176637,1.1976169587520005,1.4138255690792048,0.04897732463108547,-0.1744237026160841,-1.0354624650685804
4056,7,0.05732684096259575,0.5286630546543715,0.8265766838609632,0.056933271838313204,-0.08191474946904823,-0.3509527754966679,0.07754798096333373,1.6052425654705114,1.715856317344533,0.05686804990542666,-0.03910669377555791,-0.3411962355012697,0.06209223324287886,0.14187240837022233,-0.4389469066824214,0.06572536483194706,0.478224479851997,0.7465419044687257,0.07035290548005774,0.9391921609531424,1.1090254535894115,0.05483827903611372,0.17024125813806743,-0.6693133061035792
4057,8,0.061436920712650264,0.25877608530872576,0.3557259617768043,0.06267006668554535,-0.1615245657529177,-0.3673976274533052,0.09298640509296353,1.7945122225568342,1.8414521939546573,0.06254458547581017,-0.07687575336037028,-0.2995801163914883,0.06407780398426616,0.28508914852590217,-0.07399532625970875,0.054265703841072134,0.6233138210480746,0.8663180720897348,0.060079830456924416,0.5389115679534352,0.4083572002909229,0.06267382604147106,0.766753799493781,0.09195244681651163
4058,9,0.05221793146940151,-0.05246132639409369,-0.11784610410769358,0.05708325868591449,-0.38698632348760265,-0.6827016978590487,0.0666358220227824,0.9418134820014878,0.8118714527054353,0.05550359163045923,-0.028242349798340352,-0.22882178861627045,0.05643817151774448,0.4748242751745835,0.42028181201732023,0.07212194213192248,1.035575516395802,1.6113364686525775,0.060268870125470456,0.23337148895259885,-0.10314267444777482,0.07968330669689871,1.1606708670111594,0.6688488914103513
