rank,score,first_center_sample,spacing_samples,mean_center_specificity,minimum_center_specificity,mean_prominence
1,45.653782396661676,4083,9,41.613980834054246,30.702855672607896,29.745346737140377
2,44.72275697853014,4082,9,40.79904834154618,29.842662965580118,28.670991915655783
3,39.440529529666065,4084,9,36.36236600242911,27.428867565826856,22.911823016058477
4,38.1433646834473,4081,9,35.267814376369785,25.69154414346537,21.179905509956242
5,32.97871913897884,4079,10,31.09336065934118,15.13952202133266,16.210352035383423
6,32.504293405919846,4078,10,30.827192703561995,12.780736061067087,15.887926628031616
7,31.068096869994367,4080,10,29.47305466367624,8.719699778479038,14.25702843226149
8,31.0077600397596,4086,8,29.751307738212446,16.768456299341405,11.852998966358893
9,30.503313181017983,4087,8,29.41632580635587,8.041833520874816,11.98299158653813
10,29.817635336315252,4085,8,28.733037144994896,11.716609088993641,10.596362495087098
11,29.730144855726376,4077,10,28.583527359732432,6.701734737697519,13.225748758351267
12,28.512441722193568,4088,8,27.763027670624588,3.7884834165229164,10.881640835744772
13,28.216216018247962,4080,9,26.933400054232795,19.80239544812365,10.086543154002314
14,28.1391667033565,4085,9,26.78225909603711,21.024958817525228,10.688104047532182
15,27.17060496701049,4084,8,26.480662179603776,7.369405669056515,8.546471186527302
16,26.7748355664733,4081,10,25.888975555205455,4.7455931120085415,10.173211355478054
17,24.835366369429906,4076,10,24.377002586748148,3.7418043701279005,8.503082958017547
18,24.155914982660846,4089,8,23.935300964863494,1.427513603929893,7.604166629174091
19,22.610002693758762,4083,8,22.480029934286428,3.999261519041616,5.187582842235221
20,20.800014617529534,4082,10,20.793255406449465,2.3363346952271957,4.7273845693164604
21,20.074780345327667,4072,11,19.885368591395597,0.9025964487823442,7.663334107048307
22,19.877010185889482,4073,11,19.788611581004265,1.554408674817095,6.637323221986916
23,19.316884216494053,4071,11,19.1390674345989,0.6722513068726151,7.642607815498664
24,19.026748381760772,4093,7,19.081255561449424,0.22300595371987225,5.796271077214529
25,18.871752461955985,4092,7,19.108645688953693,0.5062681318252007,4.316201665324185
26,18.839917448550985,4074,11,18.942576297470268,1.6017082905838,4.813828513075375
27,18.58119445886604,4079,9,18.80662400638768,13.571598213517143,-0.25443210662080107
28,18.580236400073726,4075,10,18.870641077492536,2.325873876188495,2.7378929612648593
29,17.991436791202535,4091,7,18.47199294302883,0.32318890940838146,2.3784825934418574
30,17.954298393527345,4094,7,18.020646586594783,-0.0645036608235296,5.923954717757198
31,17.913185600758972,4090,8,18.3237880934861,0.6671776645284779,2.582558092673305
32,17.860106317273814,4075,11,18.131454132437742,2.325873876188495,3.2682851584719588
33,17.15382603588884,4082,8,17.600208150662056,1.4810957314628939,1.3178211162805926
34,16.8922154810011,4076,11,17.283913944257407,0.9598107433371232,2.1094049111445585
35,16.75001354417098,4090,7,17.405657111081197,0.6671776645284779,0.5851074610731599
36,16.363072749835506,4087,7,16.777085600215223,0.152499759764126,1.848510185175007
37,16.35318646136867,4070,11,16.416650601071098,-0.2925567392883102,5.366864952589541
38,16.295299261035694,4088,7,16.842975752526137,0.3882436161993622,0.7557403763806365
39,16.257511149857528,4089,7,16.919268792696045,1.427513603929893,0.14859210516348798
40,16.103953101005963,4077,11,16.540448918393825,0.14462107305309438,1.6445627866037413
41,16.059622214162022,4086,9,16.49463993486493,13.333889930743771,-2.0549467607457115
42,15.758617130447485,4086,7,16.101204036352545,-0.37853678398776985,2.458517563935543
43,15.750531889614212,4095,7,16.007747986239767,-0.5989384147553208,4.70026614307179
44,15.601920820314586,4078,11,16.01444787041917,-0.36536573442950343,1.9435082024248134
45,15.184977577560478,4079,11,15.515047950012079,-0.3443623591375776,2.670390203240407
46,14.9119062234637,4066,12,14.87796712438675,0.23151081372092824,6.2627306151045
47,14.673733052966082,4067,12,14.743629754940093,-0.2925710365355184,5.54835256388054
48,14.599944010874815,4083,10,15.379149931840942,0.5247515479399885,-0.5917498530430354
49,14.592777628292211,4085,7,14.935358129196503,-1.1255647174188803,2.5090522029401523
50,14.273919335163924,4080,11,14.564282255847179,-0.2718654062187723,3.0380937139577364
51,14.168668131146685,4065,12,14.169879345360018,0.31976025636733035,5.977675721062468
52,13.665960737636958,4068,12,13.969630869971473,-0.6513749295029172,4.054176641784719
53,12.926818969170837,4084,7,13.37695012264841,-1.4844124177225941,2.001469926312639
54,12.834500843213206,4069,11,13.199806384965564,-0.5601042151431928,2.449269436487815
55,12.699779878194981,4069,12,13.203044793396318,-0.5601042151431928,2.506140024173692
56,12.647905924007631,4081,11,12.998372863903887,-0.20872630291757796,2.6991334330832544
57,12.528935517181507,4074,10,13.447451062298082,1.6017082905838,-2.393084996744036
58,12.490598448847772,4097,6,13.279875368816871,-0.7927049219157928,0.6277884563072429
59,12.444905923906546,4064,12,12.568101882075673,0.41996749221068264,4.663092771405987
60,12.443230308282429,4096,6,13.20970062264684,-0.9075713982016291,0.7592877430943286
61,12.319355200757903,4100,6,12.947706665583446,-0.7081552199442699,1.789316177560186
62,12.308027812233327,4099,6,13.037343342573196,-1.3139882746729286,0.9651895116213935
63,12.303996944635195,4098,6,13.106543289571901,-1.5241393084453003,0.5266665109871216
64,12.260014098903126,4096,7,12.811402135593383,-0.9075713982016291,2.028766430745607
65,12.141872999964052,4095,6,12.862766316848369,-0.5989384147553208,0.6582186851539622
66,12.092997208530546,4101,6,12.617655596859915,-0.16110202546932462,2.546797186728648
67,11.884059287117738,4094,6,12.546960302659352,-0.0645036608235296,0.5105044113825814
68,11.838759909355499,4070,12,12.498817633647656,-0.2925567392883102,1.0512583002449047
69,11.694956719844008,4081,8,12.648822753187448,0.3882436161993622,-2.427047098481621
70,11.406484222463952,4091,8,12.401702734635823,0.32318890940838146,-2.5966905948615073
71,11.371085986233096,4071,12,12.125128543556004,-0.36536573442950343,0.11953023871340407
72,11.204883605106378,4093,6,11.900089250533487,-0.37853678398776985,-0.05741505301825106
73,11.001272703905034,4072,12,11.777646049349705,-0.3443623591375776,-0.4610958406481447
74,10.985636116384047,4083,7,11.54920981159615,-1.5752439587722664,1.221188595199869
75,10.809177626871708,4102,6,11.294471166910762,-0.37038141816306774,2.2537250127479473
76,10.670571480454246,4082,11,11.140186753285873,-0.37038141816306774,1.8730993532823832
77,10.593089557795935,4073,12,11.33637879043407,-0.2718654062187723,-0.7777019116454698
78,10.567530520497627,4078,9,11.859751146118967,7.883373514805095,-7.833287918392552
79,10.419584126663118,4092,6,11.163834426393683,-1.1255647174188803,-0.684663115457104
80,10.29010004517216,4077,12,10.795815937626802,0.008716290580309483,1.3921266612606256
81,10.264693290522166,4089,6,10.933901872767004,-0.9937178037052365,0.25709780337843924
82,10.254416371904869,4076,12,10.87907192367895,0.2630788533565346,0.6315323073683947
83,10.252947591305343,4074,12,10.957422851775217,-0.20872630291757796,-0.7141085072276865
84,10.217537625356265,4064,13,10.766200484218718,-0.36536573442950343,1.965463343710713
85,10.217373908280473,4078,12,10.56854949180332,-0.37038141816306774,2.0608524284907244
86,10.173517233305088,4075,12,10.847597621062954,0.034557040670205846,-0.16754421191052948
87,10.16375757889558,4088,6,10.818474608229133,-0.606482443374671,0.427284438914727
88,10.004173162994414,4090,6,10.719181527954023,-1.5752439587722664,-0.4042735925308265
89,9.988576159771153,4091,6,10.739600112277307,-1.4844124177225941,-0.8189179932526831
90,9.957891757807069,4106,5,10.595026282975027,-0.37038141816306774,1.179277045296868
91,9.945866014329258,4107,5,10.53020867630375,0.0159109796560713,1.8530502799913273
92,9.89081846913444,4079,12,10.151914077995006,-0.66589022519659,2.522148617119887
93,9.874305739755101,4101,5,10.555665318874011,-0.3860149224281548,0.856364292165952
94,9.692194338062665,4105,5,10.410456023712321,-0.1708459717031779,0.27260764143377314
95,9.631168273085093,4087,6,10.288916282142596,-1.060458975754346,0.12277128508250945
96,9.574305712604673,4100,5,10.252926077841424,-1.3139882746729286,0.7639898920504401
97,9.569099897238228,4102,5,10.36170412992784,0.15469851986155964,0.26029912207189065
