sbox,sbox_index,absolute_sample,offset_from_center_samples,own_specificity,strongest_other_specificity,isolation_margin,normalized_response,safe_sample
S0,0,4076,-7,3.7418043701279005,1.2271741011945096,2.5146302689333906,0.0749168949713883,False
S0,0,4077,-6,6.701734737697519,0.4931858415710473,6.208548896126472,0.1470390788013776,False
S0,0,4078,-5,12.780736061067087,0.5133240496393118,12.267412011427774,0.2951610940185129,False
S0,0,4079,-4,21.213439250973288,0.8010515558799599,20.41238769509333,0.5006338228062274,False
S0,0,4080,-3,30.42851983903574,0.3690547766735882,30.05946506236215,0.7251700968558479,True
S0,0,4081,-2,37.82641706724377,0.5368870151790149,37.289530052064755,0.9054285616136807,True
S0,0,4082,-1,41.7076760297325,0.6722513068726151,41.03542472285988,1.0,True
S0,0,4083,0,41.210126926203635,0.9025964487823442,40.30753047742129,0.9878766310510814,True
S0,0,4084,1,36.4970595231733,1.6507658467405242,34.84629367643277,0.873037201931812,True
S0,0,4085,2,27.041049324750958,3.6802621522327397,23.36078717251822,0.6426303946295018,True
S0,0,4086,3,16.768456299341405,6.6603133191122295,10.108142980229175,0.3923265865714808,False
S0,0,4087,4,8.041833520874816,9.994834914183656,-1.9530013933088402,0.179692161404134,False
S0,0,4088,5,3.7884834165229164,14.75940427183963,-10.970920855316713,0.07605428482420239,False
S0,0,4089,6,1.427513603929893,20.854729236823026,-19.427215632893134,0.01852647920196949,False
S0,0,4090,7,0.6671776645284779,27.716563511566868,-27.04938584703839,0.0,False
S1,1,4085,-7,3.6802621522327397,27.041049324750958,-23.36078717251822,0.025979222703505635,False
S1,1,4086,-6,6.6603133191122295,16.768456299341405,-10.108142980229175,0.12570314571203528,False
S1,1,4087,-5,9.994834914183656,8.041833520874816,1.9530013933088402,0.23728900655662855,False
S1,1,4088,-4,14.75940427183963,3.7884834165229164,10.970920855316713,0.39672974135757505,False
S1,1,4089,-3,20.854729236823026,1.427513603929893,19.427215632893134,0.6007026543986865,True
S1,1,4090,-2,27.716563511566868,1.1557700232848267,26.56079348828204,0.8303259039982518,True
S1,1,4091,-1,32.483817999000564,1.4455490726245435,31.03826892637602,0.9898564935232371,True
S1,1,4092,0,32.786936522624444,1.5201439431867414,31.266792579437702,1.0,True
S1,1,4093,1,28.63203624976351,2.3021648059844915,26.329871443779016,0.8609611272705847,True
S1,1,4094,2,21.238710118569593,4.065682958390376,17.173027160179217,0.6135521250096689,True
S1,1,4095,3,13.333889930743771,7.498914955931868,5.834974974811903,0.3490265730432348,False
S1,1,4096,4,7.358036610364155,12.597272375449599,-5.239235765085444,0.14905163870147753,False
S1,1,4097,5,4.253226692915203,18.971768704286607,-14.718542011371404,0.04515281018303436,False
S1,1,4098,6,3.397203973143387,27.696504946524303,-24.299300973380916,0.01650701216827535,False
S1,1,4099,7,2.9039247339225693,36.851879408683224,-33.94795467476065,0.0,False
S2,2,4094,-7,4.065682958390376,21.238710118569593,-17.173027160179217,0.06694819011501336,False
S2,2,4095,-6,7.498914955931868,13.333889930743771,-5.834974974811903,0.14745428000690014,False
S2,2,4096,-5,12.597272375449599,7.358036610364155,5.239235765085444,0.2670060088182887,False
S2,2,4097,-4,18.971768704286607,4.253226692915203,14.718542011371404,0.4164820054396479,False
S2,2,4098,-3,27.696504946524303,3.397203973143387,24.299300973380916,0.621068937142361,True
S2,2,4099,-2,36.851879408683224,2.9039247339225693,33.94795467476065,0.8357539336623326,True
S2,2,4100,-1,43.85625449605944,2.0851624267997635,41.77109206925968,1.0,True
S2,2,4101,0,43.56625337540432,1.3594387682005071,42.20681460720382,0.993199744058972,True
S2,2,4102,1,36.09639049073938,2.3233273692725827,33.7730631214668,0.8180384228014689,True
S2,2,4103,2,24.83893751723463,3.0059320094465614,21.83300550778807,0.5540616447428784,False
S2,2,4104,3,15.015851245727056,4.538033544354338,10.477817701372718,0.32371942873299453,False
S2,2,4105,4,8.51766065848034,7.883373514805095,0.6342871436752446,0.1713429170594125,False
S2,2,4106,5,4.6793769920512265,13.571598213517143,-8.892221221465917,0.08133874312028488,False
S2,2,4107,6,2.246937807853714,19.80239544812365,-17.555457640269935,0.024300311764704454,False
S2,2,4108,7,1.2106359825774495,25.69154414346537,-24.48090816088792,0.0,False
S3,3,4103,-7,3.0059320094465614,24.83893751723463,-21.83300550778807,0.08742724584309068,False
S3,3,4104,-6,4.538033544354338,15.015851245727056,-10.477817701372718,0.13790773004280169,False
S3,3,4105,-5,7.883373514805095,8.51766065848034,-0.6342871436752446,0.24813174436125637,False
S3,3,4106,-4,13.571598213517143,4.6793769920512265,8.892221221465917,0.4355503523877955,False
S3,3,4107,-3,19.80239544812365,2.246937807853714,17.555457640269935,0.6408459246372482,True
S3,3,4108,-2,25.69154414346537,1.9654504264171324,23.72609371704824,0.8348846817897507,True
S3,3,4109,-1,29.842662965580118,2.431976220721275,27.410686744858843,0.9716579199442965,True
S3,3,4110,0,30.702855672607896,2.487257340692121,28.215598331915775,1.0,True
S3,3,4111,1,27.428867565826856,1.9649982390369363,25.46386932678992,0.8921269242744082,True
S3,3,4112,2,21.024958817525228,3.813324803568188,17.21163401395704,0.6811275831605762,True
S3,3,4113,3,13.691144756934376,9.360559017783794,4.330585739150582,0.4394892345431919,False
S3,3,4114,4,7.31614456186241,16.376639689958466,-9.060495128096056,0.22944238758937283,False
S3,3,4115,5,3.192361215369851,25.496550614582972,-22.304189399213122,0.09356981300952967,False
S3,3,4116,6,0.874492555947621,32.93787181300049,-32.06337925705287,0.017199461846078633,False
S3,3,4117,7,0.35248247003573374,40.371821902356665,-40.01933943232093,0.0,False
S4,4,4112,-7,3.813324803568188,21.024958817525228,-17.21163401395704,0.08883218012941763,False
S4,4,4113,-6,9.360559017783794,13.691144756934376,-4.330585739150582,0.2066160021333812,False
S4,4,4114,-5,16.376639689958466,7.31614456186241,9.060495128096056,0.35558768155862486,False
S4,4,4115,-4,25.496550614582972,3.192361215369851,22.304189399213122,0.5492297603959013,False
S4,4,4116,-3,32.93787181300049,0.874492555947621,32.06337925705287,0.7072305257615774,True
S4,4,4117,-2,40.371821902356665,0.9729123284948763,39.398909573861786,0.8650747811685737,True
S4,4,4118,-1,44.964242553578465,0.29378618927301187,44.67045636430545,0.9625851504197342,True
S4,4,4119,0,46.726360051382166,0.5339100035116314,46.19245004787054,1.0,True
S4,4,4120,1,42.002373874687116,1.0798363972338878,40.922537477453226,0.8996961142258689,True
S4,4,4121,2,31.552799015758545,2.7300757498222996,28.822723265936247,0.6778214253859687,True
S4,4,4122,3,18.48146705130516,6.853878150524953,11.627588900780207,0.40027925247564394,False
S4,4,4123,4,8.476491600054427,12.95855485541373,-4.482063255359304,0.1878446946045781,False
S4,4,4124,5,2.1923146890359497,22.136236600370207,-19.943921911334257,0.05441344830313083,False
S4,4,4125,6,0.008716290580309483,32.346640977951466,-32.33792468737116,0.008049340504555245,False
S4,4,4126,7,-0.37038141816306774,44.06994219007612,-44.44032360823919,0.0,False
S5,5,4121,-7,2.7300757498222996,31.552799015758545,-28.822723265936247,0.03396928423795924,False
S5,5,4122,-6,6.853878150524953,18.48146705130516,-11.627588900780207,0.1137677678922981,False
S5,5,4123,-5,12.95855485541373,8.476491600054427,4.482063255359304,0.23189756581061882,False
S5,5,4124,-4,22.136236600370207,2.1923146890359497,19.943921911334257,0.409492177663225,False
S5,5,4125,-3,32.346640977951466,1.3411935117953206,31.005447466156145,0.6070707005065549,True
S5,5,4126,-2,44.06994219007612,1.6317129430278086,42.43822924704831,0.8339248436612368,True
S5,5,4127,-1,51.15637447280178,1.252588620012543,49.903785852789234,0.9710523041293497,True
S5,5,4128,0,52.65232492523506,1.6373158663086382,51.01500905892642,1.0,True
S5,5,4129,1,45.828933988998244,3.1754151185356236,42.65351887046262,0.8679625750254958,True
S5,5,4130,2,34.037967678186746,5.397708932009336,28.64025874617741,0.6397990645086408,True
S5,5,4131,3,21.206585714747938,7.03765270324203,14.168933011505906,0.3915027776405833,False
S5,5,4132,4,11.085545619570702,10.569988669080454,0.5155569504902484,0.1956535166618578,False
S5,5,4133,5,4.699900113259848,16.347223275158502,-11.647323161898655,0.07208677435846217,False
S5,5,4134,6,1.805945299953702,26.213093460413653,-24.40714816045995,0.016086708538951243,False
S5,5,4135,7,0.9746211412179612,38.61689867999295,-37.64227753877499,0.0,False
S6,6,4130,-7,5.397708932009336,34.037967678186746,-28.64025874617741,0.09520374009873478,False
S6,6,4131,-6,7.03765270324203,21.206585714747938,-14.168933011505906,0.1263130555477618,False
S6,6,4132,-5,10.569988669080454,11.085545619570702,-0.5155569504902484,0.19332056870817413,False
S6,6,4133,-4,16.347223275158502,4.699900113259848,11.647323161898655,0.3029132370277855,False
S6,6,4134,-3,26.213093460413653,1.805945299953702,24.40714816045995,0.4900662804163101,False
S6,6,4135,-2,38.61689867999295,1.015756760372386,37.60114191962057,0.7253633046881428,True
S6,6,4136,-1,49.26474436736187,0.8191355072142439,48.44560886014763,0.9273502240883936,True
S6,6,4137,0,53.094515153636635,0.6463148098303874,52.44820034380625,1.0,True
S6,6,4138,1,45.83849278147157,1.4810957314628939,44.35739705000868,0.8623551045831247,True
S6,6,4139,2,32.289358350956725,3.999261519041616,28.290096831915108,0.6053314770331828,True
