jitter_sigma_samples,noise_multiplier,repetition,spacing_samples,S0_center,S0_error,S1_center,S1_error,S2_center,S2_error,S3_center,S3_error,S4_center,S4_error,S5_center,S5_error,S6_center,S6_error,S7_center,S7_error
0.0,0.0,0,9,4083,0,4092,0,4101,0,4110,0,4119,0,4128,0,4137,0,4146,0
0.0,0.0,1,9,4083,0,4092,0,4101,0,4110,0,4119,0,4128,0,4137,0,4146,0
0.0,0.0,2,9,4083,0,4092,0,4101,0,4110,0,4119,0,4128,0,4137,0,4146,0
0.0,0.0,3,9,4083,0,4092,0,4101,0,4110,0,4119,0,4128,0,4137,0,4146,0
0.0,0.0,4,9,4083,0,4092,0,4101,0,4110,0,4119,0,4128,0,4137,0,4146,0
0.0,0.0,5,9,4083,0,4092,0,4101,0,4110,0,4119,0,4128,0,4137,0,4146,0
0.0,0.0,6,9,4083,0,4092,0,4101,0,4110,0,4119,0,4128,0,4137,0,4146,0
0.0,0.0,7,9,4083,0,4092,0,4101,0,4110,0,4119,0,4128,0,4137,0,4146,0
0.5,0.0,0,9,4082,-1,4091,-1,4100,-1,4109,-1,4118,-1,4127,-1,4136,-1,4145,-1
0.5,0.0,1,9,4082,-1,4091,-1,4100,-1,4109,-1,4118,-1,4127,-1,4136,-1,4145,-1
0.5,0.0,2,9,4083,0,4092,0,4101,0,4110,0,4119,0,4128,0,4137,0,4146,0
0.5,0.0,3,9,4082,-1,4091,-1,4100,-1,4109,-1,4118,-1,4127,-1,4136,-1,4145,-1
0.5,0.0,4,9,4083,0,4092,0,4101,0,4110,0,4119,0,4128,0,4137,0,4146,0
0.5,0.0,5,9,4083,0,4092,0,4101,0,4110,0,4119,0,4128,0,4137,0,4146,0
0.5,0.0,6,9,4083,0,4092,0,4101,0,4110,0,4119,0,4128,0,4137,0,4146,0
0.5,0.0,7,9,4083,0,4092,0,4101,0,4110,0,4119,0,4128,0,4137,0,4146,0
1.0,0.0,0,9,4082,-1,4091,-1,4100,-1,4109,-1,4118,-1,4127,-1,4136,-1,4145,-1
1.0,0.0,1,9,4082,-1,4091,-1,4100,-1,4109,-1,4118,-1,4127,-1,4136,-1,4145,-1
1.0,0.0,2,9,4082,-1,4091,-1,4100,-1,4109,-1,4118,-1,4127,-1,4136,-1,4145,-1
1.0,0.0,3,9,4083,0,4092,0,4101,0,4110,0,4119,0,4128,0,4137,0,4146,0
1.0,0.0,4,9,4083,0,4092,0,4101,0,4110,0,4119,0,4128,0,4137,0,4146,0
1.0,0.0,5,9,4082,-1,4091,-1,4100,-1,4109,-1,4118,-1,4127,-1,4136,-1,4145,-1
1.0,0.0,6,9,4082,-1,4091,-1,4100,-1,4109,-1,4118,-1,4127,-1,4136,-1,4145,-1
1.0,0.0,7,9,4083,0,4092,0,4101,0,4110,0,4119,0,4128,0,4137,0,4146,0
1.5,0.0,0,9,4082,-1,4091,-1,4100,-1,4109,-1,4118,-1,4127,-1,4136,-1,4145,-1
1.5,0.0,1,9,4083,0,4092,0,4101,0,4110,0,4119,0,4128,0,4137,0,4146,0
1.5,0.0,2,9,4082,-1,4091,-1,4100,-1,4109,-1,4118,-1,4127,-1,4136,-1,4145,-1
1.5,0.0,3,9,4082,-1,4091,-1,4100,-1,4109,-1,4118,-1,4127,-1,4136,-1,4145,-1
1.5,0.0,4,9,4082,-1,4091,-1,4100,-1,4109,-1,4118,-1,4127,-1,4136,-1,4145,-1
1.5,0.0,5,9,4083,0,4092,0,4101,0,4110,0,4119,0,4128,0,4137,0,4146,0
