subset_size,repetition,spacing_samples,comb_score,S0_center,S0_error,S1_center,S1_error,S2_center,S2_error,S3_center,S3_error,S4_center,S4_error,S5_center,S5_error,S6_center,S6_error,S7_center,S7_error
128,0,9,6.348627805949523,4082,-1,4091,-1,4100,-1,4109,-1,4118,-1,4127,-1,4136,-1,4145,-1
128,1,9,7.377466359484546,4082,-1,4091,-1,4100,-1,4109,-1,4118,-1,4127,-1,4136,-1,4145,-1
128,2,9,5.699895763899769,4082,-1,4091,-1,4100,-1,4109,-1,4118,-1,4127,-1,4136,-1,4145,-1
128,3,9,4.288665858521247,4083,0,4092,0,4101,0,4110,0,4119,0,4128,0,4137,0,4146,0
128,4,9,6.714300542020242,4083,0,4092,0,4101,0,4110,0,4119,0,4128,0,4137,0,4146,0
128,5,9,5.367870877948318,4083,0,4092,0,4101,0,4110,0,4119,0,4128,0,4137,0,4146,0
128,6,9,6.2625967483103375,4082,-1,4091,-1,4100,-1,4109,-1,4118,-1,4127,-1,4136,-1,4145,-1
128,7,9,5.0022308577307575,4083,0,4092,0,4101,0,4110,0,4119,0,4128,0,4137,0,4146,0
128,8,9,5.729738636761235,4083,0,4092,0,4101,0,4110,0,4119,0,4128,0,4137,0,4146,0
128,9,9,5.097913131863968,4082,-1,4091,-1,4100,-1,4109,-1,4118,-1,4127,-1,4136,-1,4145,-1
128,10,9,7.096332474733022,4083,0,4092,0,4101,0,4110,0,4119,0,4128,0,4137,0,4146,0
128,11,9,4.771859285455425,4082,-1,4091,-1,4100,-1,4109,-1,4118,-1,4127,-1,4136,-1,4145,-1
128,12,9,6.385798831225377,4083,0,4092,0,4101,0,4110,0,4119,0,4128,0,4137,0,4146,0
128,13,9,6.694740245842329,4082,-1,4091,-1,4100,-1,4109,-1,4118,-1,4127,-1,4136,-1,4145,-1
128,14,9,5.762373379096942,4082,-1,4091,-1,4100,-1,4109,-1,4118,-1,4127,-1,4136,-1,4145,-1
128,15,9,5.762001359346773,4082,-1,4091,-1,4100,-1,4109,-1,4118,-1,4127,-1,4136,-1,4145,-1
128,16,9,6.701081880520132,4083,0,4092,0,4101,0,4110,0,4119,0,4128,0,4137,0,4146,0
128,17,9,6.96383617326683,4083,0,4092,0,4101,0,4110,0,4119,0,4128,0,4137,0,4146,0
128,18,9,5.8936570933770325,4082,-1,4091,-1,4100,-1,4109,-1,4118,-1,4127,-1,4136,-1,4145,-1
128,19,9,4.702611750253382,4083,0,4092,0,4101,0,4110,0,4119,0,4128,0,4137,0,4146,0
256,0,9,10.267367885389374,4082,-1,4091,-1,4100,-1,4109,-1,4118,-1,4127,-1,4136,-1,4145,-1
256,1,9,11.51718444602486,4082,-1,4091,-1,4100,-1,4109,-1,4118,-1,4127,-1,4136,-1,4145,-1
256,2,9,10.081329504188242,4083,0,4092,0,4101,0,4110,0,4119,0,4128,0,4137,0,4146,0
256,3,9,11.24062992288458,4083,0,4092,0,4101,0,4110,0,4119,0,4128,0,4137,0,4146,0
256,4,9,11.199368526963669,4083,0,4092,0,4101,0,4110,0,4119,0,4128,0,4137,0,4146,0
256,5,9,11.667453746412642,4083,0,4092,0,4101,0,4110,0,4119,0,4128,0,4137,0,4146,0
256,6,9,11.522668244685697,4083,0,4092,0,4101,0,4110,0,4119,0,4128,0,4137,0,4146,0
256,7,9,12.738502929997086,4083,0,4092,0,4101,0,4110,0,4119,0,4128,0,4137,0,4146,0
256,8,9,10.438316516087733,4083,0,4092,0,4101,0,4110,0,4119,0,4128,0,4137,0,4146,0
256,9,9,11.31681294650484,4082,-1,4091,-1,4100,-1,4109,-1,4118,-1,4127,-1,4136,-1,4145,-1
256,10,9,11.36712986326974,4082,-1,4091,-1,4100,-1,4109,-1,4118,-1,4127,-1,4136,-1,4145,-1
256,11,9,10.75310047039895,4083,0,4092,0,4101,0,4110,0,4119,0,4128,0,4137,0,4146,0
256,12,9,12.268243893939466,4083,0,4092,0,4101,0,4110,0,4119,0,4128,0,4137,0,4146,0
256,13,9,12.370347434355367,4083,0,4092,0,4101,0,4110,0,4119,0,4128,0,4137,0,4146,0
256,14,9,11.216438396688321,4083,0,4092,0,4101,0,4110,0,4119,0,4128,0,4137,0,4146,0
256,15,9,12.461217544486345,4083,0,4092,0,4101,0,4110,0,4119,0,4128,0,4137,0,4146,0
256,16,9,11.509249901383443,4082,-1,4091,-1,4100,-1,4109,-1,4118,-1,4127,-1,4136,-1,4145,-1
256,17,9,10.330017368348038,4082,-1,4091,-1,4100,-1,4109,-1,4118,-1,4127,-1,4136,-1,4145,-1
256,18,9,11.247770054427686,4083,0,4092,0,4101,0,4110,0,4119,0,4128,0,4137,0,4146,0
256,19,9,11.6879030179042,4082,-1,4091,-1,4100,-1,4109,-1,4118,-1,4127,-1,4136,-1,4145,-1
512,0,9,23.44529186005397,4083,0,4092,0,4101,0,4110,0,4119,0,4128,0,4137,0,4146,0
512,1,9,25.570471574989593,4083,0,4092,0,4101,0,4110,0,4119,0,4128,0,4137,0,4146,0
512,2,9,23.459750030099336,4082,-1,4091,-1,4100,-1,4109,-1,4118,-1,4127,-1,4136,-1,4145,-1
512,3,9,22.242648049020374,4083,0,4092,0,4101,0,4110,0,4119,0,4128,0,4137,0,4146,0
512,4,9,23.31329250044148,4082,-1,4091,-1,4100,-1,4109,-1,4118,-1,4127,-1,4136,-1,4145,-1
512,5,9,25.50186587281127,4082,-1,4091,-1,4100,-1,4109,-1,4118,-1,4127,-1,4136,-1,4145,-1
512,6,9,23.424513993038403,4082,-1,4091,-1,4100,-1,4109,-1,4118,-1,4127,-1,4136,-1,4145,-1
512,7,9,22.047562683921523,4083,0,4092,0,4101,0,4110,0,4119,0,4128,0,4137,0,4146,0
512,8,9,25.54566273545854,4083,0,4092,0,4101,0,4110,0,4119,0,4128,0,4137,0,4146,0
512,9,9,21.738636715424224,4083,0,4092,0,4101,0,4110,0,4119,0,4128,0,4137,0,4146,0
512,10,9,22.605680727598227,4083,0,4092,0,4101,0,4110,0,4119,0,4128,0,4137,0,4146,0
512,11,9,24.123576400772713,4083,0,4092,0,4101,0,4110,0,4119,0,4128,0,4137,0,4146,0
512,12,9,21.20423608295797,4083,0,4092,0,4101,0,4110,0,4119,0,4128,0,4137,0,4146,0
512,13,9,22.16382841955499,4082,-1,4091,-1,4100,-1,4109,-1,4118,-1,4127,-1,4136,-1,4145,-1
512,14,9,26.31488432374854,4083,0,4092,0,4101,0,4110,0,4119,0,4128,0,4137,0,4146,0
512,15,9,21.321881253663403,4083,0,4092,0,4101,0,4110,0,4119,0,4128,0,4137,0,4146,0
512,16,9,21.38881392635098,4082,-1,4091,-1,4100,-1,4109,-1,4118,-1,4127,-1,4136,-1,4145,-1
512,17,9,21.64408651361097,4083,0,4092,0,4101,0,4110,0,4119,0,4128,0,4137,0,4146,0
512,18,9,22.489752415880222,4083,0,4092,0,4101,0,4110,0,4119,0,4128,0,4137,0,4146,0
512,19,9,19.804714575184672,4083,0,4092,0,4101,0,4110,0,4119,0,4128,0,4137,0,4146,0
768,0,9,32.861926111045044,4083,0,4092,0,4101,0,4110,0,4119,0,4128,0,4137,0,4146,0
768,1,9,34.36713709123836,4083,0,4092,0,4101,0,4110,0,4119,0,4128,0,4137,0,4146,0
768,2,9,31.48864673272651,4082,-1,4091,-1,4100,-1,4109,-1,4118,-1,4127,-1,4136,-1,4145,-1
768,3,9,36.35359536238692,4083,0,4092,0,4101,0,4110,0,4119,0,4128,0,4137,0,4146,0
768,4,9,33.43158261459017,4083,0,4092,0,4101,0,4110,0,4119,0,4128,0,4137,0,4146,0
768,5,9,35.737119619996996,4083,0,4092,0,4101,0,4110,0,4119,0,4128,0,4137,0,4146,0
768,6,9,31.23680130997012,4083,0,4092,0,4101,0,4110,0,4119,0,4128,0,4137,0,4146,0
768,7,9,36.980480012835734,4083,0,4092,0,4101,0,4110,0,4119,0,4128,0,4137,0,4146,0
768,8,9,32.39659594531985,4083,0,4092,0,4101,0,4110,0,4119,0,4128,0,4137,0,4146,0
768,9,9,35.685083613483265,4083,0,4092,0,4101,0,4110,0,4119,0,4128,0,4137,0,4146,0
768,10,9,35.17429388784708,4083,0,4092,0,4101,0,4110,0,4119,0,4128,0,4137,0,4146,0
768,11,9,32.92695881557462,4083,0,4092,0,4101,0,4110,0,4119,0,4128,0,4137,0,4146,0
768,12,9,31.65651105344971,4082,-1,4091,-1,4100,-1,4109,-1,4118,-1,4127,-1,4136,-1,4145,-1
768,13,9,33.97656291424771,4083,0,4092,0,4101,0,4110,0,4119,0,4128,0,4137,0,4146,0
768,14,9,35.8572120868947,4083,0,4092,0,4101,0,4110,0,4119,0,4128,0,4137,0,4146,0
768,15,9,33.318008380271046,4083,0,4092,0,4101,0,4110,0,4119,0,4128,0,4137,0,4146,0
768,16,9,32.566562004443405,4083,0,4092,0,4101,0,4110,0,4119,0,4128,0,4137,0,4146,0
768,17,9,35.77770179234889,4083,0,4092,0,4101,0,4110,0,4119,0,4128,0,4137,0,4146,0
768,18,9,35.02518282614675,4083,0,4092,0,4101,0,4110,0,4119,0,4128,0,4137,0,4146,0
768,19,9,35.48951803121225,4083,0,4092,0,4101,0,4110,0,4119,0,4128,0,4137,0,4146,0
