first_sbox,second_sbox,first_sbox_index,second_sbox_index,first_quality_score,second_quality_score,mean_quality_score,worst_quality_score,center_gap_samples,sbox_index_gap,separation_score,exploration_window_overlap_fraction,pair_score,rank
S0,S5,0,5,0.5168255761947325,0.763074554032892,0.6399500651138122,0.5168255761947325,45,5,1.0,0.0,0.6873351543072339,1
S4,S6,4,6,0.6456155218573552,0.7,0.6728077609286776,0.6456155218573552,18,2,0.6666666666666666,0.0,0.6828077609286776,2
S0,S6,0,6,0.5168255761947325,0.7,0.6084127880973662,0.5168255761947325,54,6,1.0,0.0,0.6684127880973663,3
S5,S6,5,6,0.763074554032892,0.7,0.731537277016446,0.7,9,1,0.3333333333333333,0.25,0.6664223662098676,4
S2,S5,2,5,0.4667650140624532,0.763074554032892,0.6149197840476726,0.4667650140624532,27,3,1.0,0.0,0.6623048732410942,5
S0,S4,0,4,0.5168255761947325,0.6456155218573552,0.5812205490260438,0.5168255761947325,36,4,1.0,0.0,0.6520974446545728,6
S2,S6,2,6,0.4667650140624532,0.7,0.5833825070312266,0.4667650140624532,36,4,1.0,0.0,0.6433825070312267,7
S4,S5,4,5,0.6456155218573552,0.763074554032892,0.7043450379451236,0.6456155218573552,9,1,0.3333333333333333,0.25,0.6392301271385452,8
S1,S5,1,5,0.37200811268358636,0.763074554032892,0.5675413333582392,0.37200811268358636,36,4,1.0,0.0,0.6149264225516609,9
S1,S6,1,6,0.37200811268358636,0.7,0.5360040563417932,0.37200811268358636,45,5,1.0,0.0,0.5960040563417932,10
S1,S4,1,4,0.37200811268358636,0.6456155218573552,0.5088118172704708,0.37200811268358636,27,3,1.0,0.0,0.5796887128989998,11
S2,S4,2,4,0.4667650140624532,0.6456155218573552,0.5561902679599042,0.4667650140624532,18,2,0.6666666666666666,0.0,0.5770671635884332,12
S3,S6,3,6,0.3292821139666684,0.7,0.5146410569833342,0.3292821139666684,27,3,1.0,0.0,0.5746410569833342,13
S4,S7,4,7,0.6456155218573552,0.3254207960195915,0.48551815893847333,0.3254207960195915,27,3,1.0,0.0,0.5563950545670023,14
S3,S5,3,5,0.3292821139666684,0.763074554032892,0.5461783339997802,0.3292821139666684,18,2,0.6666666666666666,0.0,0.5435634231932018,15
S5,S7,5,7,0.763074554032892,0.3254207960195915,0.5442476750262417,0.3254207960195915,18,2,0.6666666666666666,0.0,0.5416327642196633,16
S0,S2,0,2,0.5168255761947325,0.4667650140624532,0.4917952951285928,0.4667650140624532,18,2,0.6666666666666666,0.0,0.5384301798896464,17
S0,S3,0,3,0.5168255761947325,0.3292821139666684,0.42305384508070043,0.3292821139666684,27,3,1.0,0.0,0.519688729841754,18
S0,S7,0,7,0.5168255761947325,0.3254207960195915,0.421123186107162,0.3254207960195915,63,7,1.0,0.0,0.5177580708682156,19
S2,S7,2,7,0.4667650140624532,0.3254207960195915,0.39609290504102235,0.3254207960195915,45,5,1.0,0.0,0.5027399022285317,20
S1,S7,1,7,0.37200811268358636,0.3254207960195915,0.34871445435158893,0.3254207960195915,54,6,1.0,0.0,0.47431283181487166,21
S3,S7,3,7,0.3292821139666684,0.3254207960195915,0.32735145499312995,0.3254207960195915,36,4,1.0,0.0,0.4614950321997963,22
S6,S7,6,7,0.7,0.3254207960195915,0.5127103980097958,0.3254207960195915,9,1,0.3333333333333333,0.25,0.4602103980097958,23
S3,S4,3,4,0.3292821139666684,0.6456155218573552,0.4874488179120118,0.3292821139666684,9,1,0.3333333333333333,0.25,0.4458257135405408,24
S0,S1,0,1,0.5168255761947325,0.37200811268358636,0.4444168444391594,0.37200811268358636,9,1,0.3333333333333333,0.25,0.4285517292002129,25
S1,S3,1,3,0.37200811268358636,0.3292821139666684,0.3506451133251274,0.3292821139666684,18,2,0.6666666666666666,0.0,0.42624349078841006,26
S1,S2,1,2,0.37200811268358636,0.4667650140624532,0.41938656337301977,0.37200811268358636,9,1,0.3333333333333333,0.25,0.41353356056052915,27
S2,S3,2,3,0.4667650140624532,0.3292821139666684,0.3980235640145608,0.3292821139666684,9,1,0.3333333333333333,0.25,0.39217056120207017,28
