experiment_id,category,category_id,sampling_regime,target_sbox,target_sbox_index,key_id,session_id,master_key_hex,round_key_32_hex,x31_hex,x32_hex,target_original_input,target_faulted_input,impacted_sboxes,impacted_sbox_count,target_impacted,off_target_impacted,changed_sbox_input_count,fault_effective,invalid_subtype,invalid_probability,global_jitter_samples,injection_jitter_samples,model_details_json
0,off_target,3,miss_probe,S0,0,0,0,94be897446726719d350,124ec80a,0fbac81f,8ff9ce50,10,10,S3,1,False,True,0,False,,0.0005,-0.059458216020776083,0.1709113404431744,"{""S3"": {""and_mask"": 12}}"
1,missed,0,miss_probe,S5,5,0,0,94be897446726719d350,124ec80a,2f99a7c4,21cb08c8,8,8,,0,False,False,0,False,,0.0005,-0.1308162607117091,0.041961102505452624,{}
2,missed,0,miss_probe,S0,0,1,0,454d5b2e2dc08ce40669,2bcb35b6,dc2278be,6d3e1d56,0,0,,0,False,False,0,False,,0.0005,0.2689106537822475,-0.15257669751640296,{}
3,missed,0,miss_probe,S5,5,1,0,454d5b2e2dc08ce40669,2bcb35b6,59b0d765,7d2ca8a8,14,14,,0,False,False,0,False,,0.0005,-0.1568049640298356,-0.11365107115697436,{}
4,missed,0,target_probe,S0,0,2,0,982fc83b7cc8e27ed3ed,c48bcaf1,164fd1ef,aeb8c8c3,2,2,,0,False,False,0,False,,0.000550330540604948,0.5939440458260096,-0.06696849383521078,{}
5,clean_target_effective,2,target_probe,S5,5,2,0,982fc83b7cc8e27ed3ed,c48bcaf1,cfb0fffd,17495f6c,12,8,S5,1,True,False,1,True,,0.0005,-0.3616472776740149,-0.24081685206469752,"{""S5"": {""and_mask"": 9, ""randomized_positions"": [1, 2]}}"
6,missed,0,target_probe,S0,0,3,0,9a12785cf0bfd7f9169e,615424b1,10cc7c33,ba40440b,10,10,,0,False,False,0,False,,0.0005153834221071437,-0.009701724019878845,0.002333300358819751,{}
7,off_target,3,target_probe,S5,5,3,0,9a12785cf0bfd7f9169e,615424b1,483ed3ab,5715c45a,4,4,S6,1,False,True,1,True,,0.0005000262902426899,-0.4958551266627939,0.1406554290215443,"{""S6"": {""replacement"": 12}}"
8,clean_target_ineffective,1,target_probe,S0,0,4,0,19befa4e32aa4154e8eb,48e4d611,cb79cc8d,e9e00700,1,1,S0,1,True,False,0,False,,0.0005,0.398652183350788,0.6105895061404025,"{""S0"": {""and_mask"": 7, ""randomized_positions"": [2, 3]}}"
9,missed,0,target_probe,S5,5,4,0,19befa4e32aa4154e8eb,48e4d611,cf8775b1,3f4b107a,10,10,,0,False,False,0,False,,0.0005,-0.06126166878782346,0.16207181056569386,{}
10,missed,0,target_probe,S0,0,5,0,6ce416051079421e4d04,e3f442d9,11a05741,185ce4d9,0,0,,0,False,False,0,False,,0.0005,-0.07278814089377783,0.29952795817586625,{}
11,clean_target_effective,2,target_probe,S5,5,5,0,6ce416051079421e4d04,e3f442d9,f4c860e2,be0dc3b4,15,9,S5,1,True,False,1,True,,0.0005,0.13623492457196085,-0.14172367101368583,"{""S5"": {""and_mask"": 9}}"
12,missed,0,target_probe,S0,0,6,0,b67736ff4c567a14112b,30e88f1f,271a7dde,f7936e7e,1,1,,0,False,False,0,False,,0.0005,-0.0522864436049727,-0.21432883193369873,{}
13,off_target,3,neighbor_probe,S5,5,6,0,b67736ff4c567a14112b,30e88f1f,9e0781a0,a73ca37c,13,13,S4,1,False,True,1,True,,0.0010566915487150211,0.21417012995020093,0.005640679181242236,"{""S4"": {""and_mask"": 2}}"
14,off_target,3,neighbor_probe,S0,0,7,0,b78b228f913a5cfcb7ec,5efdde13,5d1a0990,3f0348cf,12,12,S1,1,False,True,1,True,,0.0008464845761529824,0.06798102698961044,-0.09119455232421998,"{""S1"": {""and_mask"": 12}}"
15,off_target,3,neighbor_probe,S5,5,7,0,b78b228f913a5cfcb7ec,5efdde13,059cfbc0,0f90af46,6,6,S6,1,False,True,0,False,,0.0006572160546898452,-0.2076932166127057,0.44793809902485127,"{""S6"": {""and_mask"": 13}}"
