original_input,original_input_hex,hamming_weight,exact_ineffective_probability,analytic_ineffective_probability,absolute_error,reachable_faulted_values
0,0,0,1.0,1.0,0.0,1
1,1,1,0.5,0.5,0.0,2
2,2,1,0.5,0.5,0.0,2
3,3,2,0.25,0.25,0.0,4
4,4,1,0.5,0.5,0.0,2
5,5,2,0.25,0.25,0.0,4
6,6,2,0.25,0.25,0.0,4
7,7,3,0.125,0.125,0.0,8
8,8,1,0.5,0.5,0.0,2
9,9,2,0.25,0.25,0.0,4
10,a,2,0.25,0.25,0.0,4
11,b,3,0.125,0.125,0.0,8
12,c,2,0.25,0.25,0.0,4
13,d,3,0.125,0.125,0.0,8
14,e,3,0.125,0.125,0.0,8
15,f,4,0.0625,0.0625,0.0,16
