original_input,original_input_hex,mask,mask_hex,faulted_input,faulted_input_hex,ineffective,transition_probability
0,0,0,0,0,0,True,0.0625
0,0,1,1,0,0,True,0.0625
0,0,2,2,0,0,True,0.0625
0,0,3,3,0,0,True,0.0625
0,0,4,4,0,0,True,0.0625
0,0,5,5,0,0,True,0.0625
0,0,6,6,0,0,True,0.0625
0,0,7,7,0,0,True,0.0625
0,0,8,8,0,0,True,0.0625
0,0,9,9,0,0,True,0.0625
0,0,10,a,0,0,True,0.0625
0,0,11,b,0,0,True,0.0625
0,0,12,c,0,0,True,0.0625
0,0,13,d,0,0,True,0.0625
0,0,14,e,0,0,True,0.0625
0,0,15,f,0,0,True,0.0625
1,1,0,0,0,0,False,0.0625
1,1,1,1,1,1,True,0.0625
1,1,2,2,0,0,False,0.0625
1,1,3,3,1,1,True,0.0625
1,1,4,4,0,0,False,0.0625
1,1,5,5,1,1,True,0.0625
1,1,6,6,0,0,False,0.0625
1,1,7,7,1,1,True,0.0625
1,1,8,8,0,0,False,0.0625
1,1,9,9,1,1,True,0.0625
1,1,10,a,0,0,False,0.0625
1,1,11,b,1,1,True,0.0625
1,1,12,c,0,0,False,0.0625
1,1,13,d,1,1,True,0.0625
1,1,14,e,0,0,False,0.0625
1,1,15,f,1,1,True,0.0625
2,2,0,0,0,0,False,0.0625
2,2,1,1,0,0,False,0.0625
2,2,2,2,2,2,True,0.0625
2,2,3,3,2,2,True,0.0625
2,2,4,4,0,0,False,0.0625
2,2,5,5,0,0,False,0.0625
2,2,6,6,2,2,True,0.0625
2,2,7,7,2,2,True,0.0625
2,2,8,8,0,0,False,0.0625
2,2,9,9,0,0,False,0.0625
2,2,10,a,2,2,True,0.0625
2,2,11,b,2,2,True,0.0625
2,2,12,c,0,0,False,0.0625
2,2,13,d,0,0,False,0.0625
2,2,14,e,2,2,True,0.0625
2,2,15,f,2,2,True,0.0625
3,3,0,0,0,0,False,0.0625
3,3,1,1,1,1,False,0.0625
3,3,2,2,2,2,False,0.0625
3,3,3,3,3,3,True,0.0625
3,3,4,4,0,0,False,0.0625
3,3,5,5,1,1,False,0.0625
3,3,6,6,2,2,False,0.0625
3,3,7,7,3,3,True,0.0625
3,3,8,8,0,0,False,0.0625
3,3,9,9,1,1,False,0.0625
3,3,10,a,2,2,False,0.0625
3,3,11,b,3,3,True,0.0625
3,3,12,c,0,0,False,0.0625
3,3,13,d,1,1,False,0.0625
3,3,14,e,2,2,False,0.0625
3,3,15,f,3,3,True,0.0625
4,4,0,0,0,0,False,0.0625
