fault_model,input_decimal,input_hex,hamming_weight,p_ineffective_given_x,p_effective_given_x,q_x_given_ineffective,q_x_given_effective
random_and_4,0,0x0,0,1.0,0.0,0.19753086419753085,0.0
random_and_4,1,0x1,1,0.5,0.5,0.09876543209876543,0.045714285714285714
random_and_4,2,0x2,1,0.5,0.5,0.09876543209876543,0.045714285714285714
random_and_4,3,0x3,2,0.25,0.75,0.04938271604938271,0.06857142857142857
random_and_4,4,0x4,1,0.5,0.5,0.09876543209876543,0.045714285714285714
random_and_4,5,0x5,2,0.25,0.75,0.04938271604938271,0.06857142857142857
random_and_4,6,0x6,2,0.25,0.75,0.04938271604938271,0.06857142857142857
random_and_4,7,0x7,3,0.125,0.875,0.024691358024691357,0.08
random_and_4,8,0x8,1,0.5,0.5,0.09876543209876543,0.045714285714285714
random_and_4,9,0x9,2,0.25,0.75,0.04938271604938271,0.06857142857142857
random_and_4,10,0xA,2,0.25,0.75,0.04938271604938271,0.06857142857142857
random_and_4,11,0xB,3,0.125,0.875,0.024691358024691357,0.08
random_and_4,12,0xC,2,0.25,0.75,0.04938271604938271,0.06857142857142857
random_and_4,13,0xD,3,0.125,0.875,0.024691358024691357,0.08
random_and_4,14,0xE,3,0.125,0.875,0.024691358024691357,0.08
random_and_4,15,0xF,4,0.0625,0.9375,0.012345679012345678,0.08571428571428572
random_and_2,0,0x0,0,0.9999999999999996,4.440892098500626e-16,0.11111111111111108,6.344131569286607e-17
random_and_2,1,0x1,1,0.7499999999999998,0.2500000000000002,0.08333333333333333,0.03571428571428574
random_and_2,2,0x2,1,0.7499999999999998,0.2500000000000002,0.08333333333333333,0.03571428571428574
random_and_2,3,0x3,2,0.5416666666666666,0.45833333333333337,0.060185185185185196,0.06547619047619047
random_and_2,4,0x4,1,0.7499999999999998,0.2500000000000002,0.08333333333333333,0.03571428571428574
random_and_2,5,0x5,2,0.5416666666666666,0.45833333333333337,0.060185185185185196,0.06547619047619047
random_and_2,6,0x6,2,0.5416666666666666,0.45833333333333337,0.060185185185185196,0.06547619047619047
random_and_2,7,0x7,3,0.375,0.625,0.04166666666666668,0.08928571428571426
random_and_2,8,0x8,1,0.7499999999999998,0.2500000000000002,0.08333333333333333,0.03571428571428574
random_and_2,9,0x9,2,0.5416666666666666,0.45833333333333337,0.060185185185185196,0.06547619047619047
random_and_2,10,0xA,2,0.5416666666666666,0.45833333333333337,0.060185185185185196,0.06547619047619047
random_and_2,11,0xB,3,0.375,0.625,0.04166666666666668,0.08928571428571426
random_and_2,12,0xC,2,0.5416666666666666,0.45833333333333337,0.060185185185185196,0.06547619047619047
random_and_2,13,0xD,3,0.375,0.625,0.04166666666666668,0.08928571428571426
random_and_2,14,0xE,3,0.375,0.625,0.04166666666666668,0.08928571428571426
random_and_2,15,0xF,4,0.24999999999999997,0.75,0.02777777777777778,0.10714285714285711
single_bit_flip,0,0x0,0,0.0,1.0,0.0,0.0625
single_bit_flip,1,0x1,1,0.0,1.0,0.0,0.0625
single_bit_flip,2,0x2,1,0.0,1.0,0.0,0.0625
single_bit_flip,3,0x3,2,0.0,1.0,0.0,0.0625
single_bit_flip,4,0x4,1,0.0,1.0,0.0,0.0625
single_bit_flip,5,0x5,2,0.0,1.0,0.0,0.0625
single_bit_flip,6,0x6,2,0.0,1.0,0.0,0.0625
single_bit_flip,7,0x7,3,0.0,1.0,0.0,0.0625
single_bit_flip,8,0x8,1,0.0,1.0,0.0,0.0625
single_bit_flip,9,0x9,2,0.0,1.0,0.0,0.0625
single_bit_flip,10,0xA,2,0.0,1.0,0.0,0.0625
single_bit_flip,11,0xB,3,0.0,1.0,0.0,0.0625
single_bit_flip,12,0xC,2,0.0,1.0,0.0,0.0625
single_bit_flip,13,0xD,3,0.0,1.0,0.0,0.0625
single_bit_flip,14,0xE,3,0.0,1.0,0.0,0.0625
single_bit_flip,15,0xF,4,0.0,1.0,0.0,0.0625
stuck_at_bit,0,0x0,0,0.5,0.5,0.0625,0.0625
stuck_at_bit,1,0x1,1,0.5,0.5,0.0625,0.0625
stuck_at_bit,2,0x2,1,0.5,0.5,0.0625,0.0625
stuck_at_bit,3,0x3,2,0.5,0.5,0.0625,0.0625
stuck_at_bit,4,0x4,1,0.5,0.5,0.0625,0.0625
stuck_at_bit,5,0x5,2,0.5,0.5,0.0625,0.0625
stuck_at_bit,6,0x6,2,0.5,0.5,0.0625,0.0625
stuck_at_bit,7,0x7,3,0.5,0.5,0.0625,0.0625
stuck_at_bit,8,0x8,1,0.5,0.5,0.0625,0.0625
stuck_at_bit,9,0x9,2,0.5,0.5,0.0625,0.0625
stuck_at_bit,10,0xA,2,0.5,0.5,0.0625,0.0625
stuck_at_bit,11,0xB,3,0.5,0.5,0.0625,0.0625
stuck_at_bit,12,0xC,2,0.5,0.5,0.0625,0.0625
stuck_at_bit,13,0xD,3,0.5,0.5,0.0625,0.0625
stuck_at_bit,14,0xE,3,0.5,0.5,0.0625,0.0625
stuck_at_bit,15,0xF,4,0.5,0.5,0.0625,0.0625
random_nibble,0,0x0,0,0.0625,0.9375,0.0625,0.0625
random_nibble,1,0x1,1,0.0625,0.9375,0.0625,0.0625
random_nibble,2,0x2,1,0.0625,0.9375,0.0625,0.0625
random_nibble,3,0x3,2,0.0625,0.9375,0.0625,0.0625
random_nibble,4,0x4,1,0.0625,0.9375,0.0625,0.0625
random_nibble,5,0x5,2,0.0625,0.9375,0.0625,0.0625
random_nibble,6,0x6,2,0.0625,0.9375,0.0625,0.0625
random_nibble,7,0x7,3,0.0625,0.9375,0.0625,0.0625
