experiment_id,campaign_partition,category,category_id,target_sbox,target_sbox_index,key_id,session_id,is_valid_response,is_clean_target,is_clean_target_ineffective,is_clean_target_effective,is_missed,is_off_target,is_multi_hit,is_invalid_reset,sifa_oracle_usable,sefa_oracle_usable,shfa_oracle_branch
0,attack,off_target,3,S5,5,22,1,1,0,0,0,0,1,0,0,0,0,0
4,attack,clean_target_effective,2,S0,0,22,0,1,1,0,1,0,0,0,0,0,1,2
5,attack,missed,0,S5,5,22,6,1,0,0,0,1,0,0,0,0,0,0
8,attack,clean_target_effective,2,S5,5,22,5,1,1,0,1,0,0,0,0,0,1,2
10,attack,clean_target_ineffective,1,S5,5,23,4,1,1,1,0,0,0,0,0,1,0,1
11,attack,multi_hit,4,S5,5,23,3,1,0,0,0,0,0,1,0,0,0,0
12,attack,multi_hit,4,S0,0,22,0,1,0,0,0,0,0,1,0,0,0,0
15,attack,missed,0,S5,5,23,7,1,0,0,0,1,0,0,0,0,0,0
22,attack,clean_target_effective,2,S5,5,23,5,1,1,0,1,0,0,0,0,0,1,2
26,attack,clean_target_ineffective,1,S5,5,22,6,1,1,1,0,0,0,0,0,1,0,1
27,attack,missed,0,S0,0,22,1,1,0,0,0,1,0,0,0,0,0,0
28,attack,multi_hit,4,S0,0,23,5,1,0,0,0,0,0,1,0,0,0,0
30,attack,multi_hit,4,S0,0,23,5,1,0,0,0,0,0,1,0,0,0,0
34,attack,clean_target_ineffective,1,S0,0,22,7,1,1,1,0,0,0,0,0,1,0,1
38,attack,clean_target_ineffective,1,S0,0,23,5,1,1,1,0,0,0,0,0,1,0,1
46,attack,clean_target_ineffective,1,S0,0,22,1,1,1,1,0,0,0,0,0,1,0,1
50,attack,missed,0,S0,0,22,0,1,0,0,0,1,0,0,0,0,0,0
52,attack,off_target,3,S0,0,23,7,1,0,0,0,0,1,0,0,0,0,0
53,attack,multi_hit,4,S0,0,23,1,1,0,0,0,0,0,1,0,0,0,0
54,attack,invalid_reset,5,S5,5,22,2,0,0,0,0,0,0,0,1,0,0,0
56,attack,clean_target_effective,2,S5,5,23,6,1,1,0,1,0,0,0,0,0,1,2
62,attack,missed,0,S0,0,23,4,1,0,0,0,1,0,0,0,0,0,0
65,attack,off_target,3,S5,5,22,3,1,0,0,0,0,1,0,0,0,0,0
74,attack,clean_target_ineffective,1,S0,0,22,0,1,1,1,0,0,0,0,0,1,0,1
77,attack,multi_hit,4,S5,5,22,5,1,0,0,0,0,0,1,0,0,0,0
79,attack,missed,0,S0,0,22,6,1,0,0,0,1,0,0,0,0,0,0
88,attack,clean_target_ineffective,1,S5,5,22,0,1,1,1,0,0,0,0,0,1,0,1
89,attack,clean_target_effective,2,S0,0,22,0,1,1,0,1,0,0,0,0,0,1,2
94,attack,invalid_reset,5,S0,0,22,5,0,0,0,0,0,0,0,1,0,0,0
99,attack,clean_target_effective,2,S5,5,22,1,1,1,0,1,0,0,0,0,0,1,2
100,attack,missed,0,S0,0,22,4,1,0,0,0,1,0,0,0,0,0,0
106,attack,missed,0,S0,0,22,4,1,0,0,0,1,0,0,0,0,0,0
110,attack,clean_target_effective,2,S5,5,22,4,1,1,0,1,0,0,0,0,0,1,2
123,attack,clean_target_effective,2,S0,0,22,4,1,1,0,1,0,0,0,0,0,1,2
125,attack,multi_hit,4,S0,0,22,7,1,0,0,0,0,0,1,0,0,0,0
127,attack,missed,0,S0,0,23,3,1,0,0,0,1,0,0,0,0,0,0
131,attack,clean_target_effective,2,S5,5,23,0,1,1,0,1,0,0,0,0,0,1,2
132,attack,clean_target_effective,2,S5,5,23,3,1,1,0,1,0,0,0,0,0,1,2
135,attack,missed,0,S5,5,23,4,1,0,0,0,1,0,0,0,0,0,0
141,attack,clean_target_effective,2,S5,5,22,3,1,1,0,1,0,0,0,0,0,1,2
143,attack,missed,0,S5,5,23,2,1,0,0,0,1,0,0,0,0,0,0
145,attack,multi_hit,4,S5,5,23,1,1,0,0,0,0,0,1,0,0,0,0
158,attack,missed,0,S5,5,23,1,1,0,0,0,1,0,0,0,0,0,0
174,attack,clean_target_ineffective,1,S0,0,22,7,1,1,1,0,0,0,0,0,1,0,1
176,attack,off_target,3,S0,0,22,3,1,0,0,0,0,1,0,0,0,0,0
180,attack,clean_target_effective,2,S5,5,22,6,1,1,0,1,0,0,0,0,0,1,2
181,attack,clean_target_ineffective,1,S0,0,22,5,1,1,1,0,0,0,0,0,1,0,1
186,attack,clean_target_ineffective,1,S5,5,22,1,1,1,1,0,0,0,0,0,1,0,1
187,attack,clean_target_effective,2,S5,5,23,7,1,1,0,1,0,0,0,0,0,1,2
189,attack,clean_target_ineffective,1,S0,0,23,6,1,1,1,0,0,0,0,0,1,0,1
195,attack,off_target,3,S5,5,22,4,1,0,0,0,0,1,0,0,0,0,0
199,attack,clean_target_effective,2,S0,0,22,1,1,1,0,1,0,0,0,0,0,1,2
202,attack,invalid_reset,5,S5,5,23,5,0,0,0,0,0,0,0,1,0,0,0
204,attack,multi_hit,4,S0,0,22,4,1,0,0,0,0,0,1,0,0,0,0
208,attack,clean_target_effective,2,S0,0,22,1,1,1,0,1,0,0,0,0,0,1,2
212,attack,multi_hit,4,S0,0,23,3,1,0,0,0,0,0,1,0,0,0,0
217,attack,missed,0,S0,0,23,2,1,0,0,0,1,0,0,0,0,0,0
218,attack,missed,0,S0,0,23,3,1,0,0,0,1,0,0,0,0,0,0
222,attack,off_target,3,S5,5,23,5,1,0,0,0,0,1,0,0,0,0,0
230,attack,missed,0,S0,0,23,4,1,0,0,0,1,0,0,0,0,0,0
231,attack,clean_target_effective,2,S5,5,22,0,1,1,0,1,0,0,0,0,0,1,2
242,attack,missed,0,S5,5,23,6,1,0,0,0,1,0,0,0,0,0,0
245,attack,off_target,3,S0,0,23,6,1,0,0,0,0,1,0,0,0,0,0
251,attack,clean_target_ineffective,1,S5,5,23,5,1,1,1,0,0,0,0,0,1,0,1
252,attack,missed,0,S0,0,23,6,1,0,0,0,1,0,0,0,0,0,0
256,attack,off_target,3,S5,5,22,7,1,0,0,0,0,1,0,0,0,0,0
258,attack,clean_target_effective,2,S0,0,23,7,1,1,0,1,0,0,0,0,0,1,2
262,attack,clean_target_ineffective,1,S5,5,23,0,1,1,1,0,0,0,0,0,1,0,1
267,attack,missed,0,S5,5,22,0,1,0,0,0,1,0,0,0,0,0,0
272,attack,clean_target_effective,2,S5,5,22,6,1,1,0,1,0,0,0,0,0,1,2
276,attack,clean_target_effective,2,S0,0,23,0,1,1,0,1,0,0,0,0,0,1,2
280,attack,missed,0,S0,0,22,2,1,0,0,0,1,0,0,0,0,0,0
288,attack,missed,0,S0,0,22,3,1,0,0,0,1,0,0,0,0,0,0
289,attack,missed,0,S5,5,23,2,1,0,0,0,1,0,0,0,0,0,0
300,attack,clean_target_effective,2,S0,0,23,3,1,1,0,1,0,0,0,0,0,1,2
301,attack,clean_target_effective,2,S5,5,22,5,1,1,0,1,0,0,0,0,0,1,2
302,attack,clean_target_effective,2,S5,5,23,6,1,1,0,1,0,0,0,0,0,1,2
306,attack,clean_target_ineffective,1,S0,0,23,3,1,1,1,0,0,0,0,0,1,0,1
308,attack,invalid_reset,5,S5,5,22,4,0,0,0,0,0,0,0,1,0,0,0
312,attack,clean_target_ineffective,1,S0,0,22,6,1,1,1,0,0,0,0,0,1,0,1
