experiment_id,campaign_partition,target_sbox,target_sbox_index,key_id,session_id,fault_model,timing_offset_samples,width_samples,strength,repeat,repeat_spacing_samples,plaintext_hex,healthy_ciphertext_hex,response_received,faulty_ciphertext_hex,ciphertext_equal,ciphertext_hamming_distance
0,attack,S5,5,22,1,random_and_4,-6.140514281157147,3.546931571049509,0.8740562008594961,1,3.419723785331273,43e193480faaf158,44b3ee21e39fc8e8,True,44b3ee21ed9fc8e8,False,3
4,attack,S0,0,22,0,random_and_4,-0.0598545890308561,1.8554887069996824,0.5204694159989847,1,2.8153341270194336,28517194df650a5d,35c64fd7854b1789,True,35c64fd7854b1689,False,1
5,attack,S5,5,22,6,single_bit_flip,24.201762914676813,0.8326172505950055,0.4562117904762824,1,2.0038144737250647,be6521d5b7391691,b198aca89db7c8d2,True,b198aca89db7c8d2,True,0
8,attack,S5,5,22,5,random_and_4,1.9179309019824085,3.385792376088035,0.3861283313979862,1,3.814760784916312,6ada4269a2e5e667,602c8f8b4704b887,True,602c8f8b470ab887,False,3
10,attack,S5,5,23,4,stuck_at_bit,-0.2549234296797045,3.775175464553976,0.5925416833140804,2,2.4057005059373813,fb30107e95a8a5a5,c4497963fb1cbc43,True,c4497963fb1cbc43,True,0
11,attack,S5,5,23,3,random_and_4,8.681429260708775,4.6423689054696,1.0912593472319834,1,6.201372088135599,35e4450342d07894,534a2d19ae998a87,True,534a2d19de998d87,False,6
12,attack,S0,0,22,0,stuck_at_bit,1.437260239952471,3.070596454740389,0.9104013067808396,1,4.108739285292602,5666cd22e43b24f3,0b658c50900bca71,True,0b658c50900bc57a,False,7
15,attack,S5,5,23,7,random_and_4,7.170495964405971,1.0041943087085612,0.8704859532671054,1,4.603402203929651,6c2aaf474a64dbdb,81a28b574671207c,True,81a28b574671207c,True,0
22,attack,S5,5,23,5,random_and_4,-2.671422141549022,4.162424901216265,0.8959967456661025,2,3.4411463392090136,b3d6714448249bfd,8e1c2edcd199e519,True,8e1c2edcd197e519,False,3
26,attack,S5,5,22,6,random_and_4,3.013438755645439,1.2096448763239058,0.9841855121799508,1,3.50826921064248,36bd619dc1ca55cb,3a0940e88ca6f5b2,True,3a0940e88ca6f5b2,True,0
