experiment_id,campaign_partition,source_healthy_trace_id,assigned_source_partition,included_in_strict_source_disjoint_subset
0,attack,588,attack,True
1,train,579,train,True
2,validation,685,test,False
3,train,366,validation,False
4,attack,664,train,False
5,attack,906,train,False
6,validation,539,train,False
7,train,294,train,True
8,attack,436,validation,False
9,test,617,train,False
10,attack,571,validation,False
11,attack,135,train,False
12,attack,738,validation,False
13,train,93,train,True
14,train,833,train,True
15,attack,732,attack,True
16,train,746,train,True
17,test,790,train,False
18,train,505,test,False
19,train,248,attack,False
20,train,543,train,True
21,validation,852,train,False
22,attack,285,train,False
23,train,420,test,False
24,validation,426,train,False
25,train,242,train,True
26,attack,998,train,False
27,attack,108,train,False
28,attack,350,train,False
29,train,238,train,True
30,attack,582,test,False
31,train,756,train,True
32,train,172,train,True
33,test,439,test,True
34,attack,507,attack,True
35,validation,102,train,False
36,test,1002,validation,False
37,train,979,train,True
38,attack,35,attack,True
39,train,1,train,True
40,validation,700,attack,False
41,train,157,attack,False
42,train,118,train,True
43,train,443,validation,False
44,train,235,validation,False
45,validation,113,train,False
46,attack,325,attack,True
47,train,460,attack,False
48,train,553,train,True
49,train,320,train,True
50,attack,84,train,False
51,train,212,attack,False
52,attack,560,train,False
53,attack,393,attack,True
54,attack,141,train,False
55,train,939,train,True
56,attack,399,validation,False
57,train,526,test,False
58,validation,112,validation,True
59,test,246,train,False
60,train,445,train,True
61,train,651,test,False
62,attack,484,attack,True
63,train,325,attack,False
64,train,93,train,True
65,attack,160,train,False
66,train,48,attack,False
67,train,533,train,True
68,train,59,train,True
69,train,1018,test,False
70,train,346,train,True
71,validation,154,train,False
72,test,293,test,True
73,validation,994,train,False
74,attack,375,attack,True
75,validation,796,attack,False
76,train,972,validation,False
77,attack,571,validation,False
78,train,976,train,True
79,attack,825,train,False
80,train,318,validation,False
81,train,394,validation,False
82,train,743,train,True
83,test,708,train,False
84,train,368,train,True
85,train,981,attack,False
86,train,727,attack,False
87,train,121,train,True
88,attack,194,attack,True
89,attack,643,train,False
90,train,67,attack,False
91,train,197,attack,False
92,train,162,train,True
93,train,906,train,True
94,attack,113,train,False
