batch_index,batch_role,campaign_arm,number_of_rows,mean_public_objective_score,mean_p_clean_target_ineffective,mean_p_clean_target_effective,mean_p_invalid_reset
0,adaptive,baseline_random,1200,0.18930795517351734,0.22762936717699797,0.3138987640611079,0.0008965878502340489
0,adaptive,guided_exploit,3000,0.286442196488528,0.3286291675068262,0.46524566704954357,0.0013781277260969812
0,adaptive,guided_explore,1200,0.29051622297181573,0.3102580757674334,0.48250945176214466,0.0025412070323435555
0,adaptive,safety_control,600,4.0776860031471106e-05,0.010985199400853456,0.01589610704850684,0.3183708334537381
1,adaptive,baseline_random,1200,0.1954963160805754,0.23900578511078158,0.3241335130924336,7.188102340546408e-05
1,adaptive,guided_exploit,3000,0.2801851128509903,0.30511936014931,0.48286874825127535,0.0007129657697253877
1,adaptive,guided_explore,1200,0.27623158344372445,0.3174505224720859,0.4703093301579501,0.000875904226555694
1,adaptive,safety_control,600,4.891740828336313e-05,0.010593874330180367,0.01871509160422076,0.31004873873127586
2,adaptive,baseline_random,1200,0.18708734767938676,0.22897772762619606,0.3286984579460903,0.0009046456093753032
2,adaptive,guided_exploit,3000,0.2894360824725916,0.32059937253855436,0.47268962076859844,0.0010452727641375953
2,adaptive,guided_explore,1200,0.2780072601898774,0.3155040465087006,0.477418318817094,0.000881530558528687
2,adaptive,safety_control,600,3.197549455184601e-05,0.011415219293494795,0.014738507345267564,0.30337753312629917
3,confirmation,baseline_random,1200,0.190317232733378,0.23191895092329337,0.3215904808759307,7.576763285038762e-05
3,confirmation,guided_exploit,3000,0.29330865223392594,0.3096164888232849,0.48298207757027034,0.00104373261986227
3,confirmation,guided_explore,1200,0.29181131984154957,0.3282299850682212,0.46069090505637544,4.5895511826105695e-05
3,confirmation,safety_control,600,2.691969276576141e-05,0.007741284533889556,0.0173046293466289,0.3017016808281503
