pipeline,key_id,target_sbox,target_sbox_index,selected_ciphertext_count,full_data_winner,full_data_winner_hex,winner_stability_fraction,distinct_bootstrap_winner_count
random_raw,0,S0,0,713,3,3,0.4866666666666667,15
random_raw,0,S5,5,608,0,0,0.4533333333333333,16
random_raw,1,S0,0,769,10,a,0.23,16
random_raw,1,S5,5,594,2,2,0.19333333333333333,16
random_threshold,0,S0,0,49,7,7,0.38333333333333336,15
random_threshold,0,S5,5,38,6,6,0.16333333333333333,15
random_threshold,1,S0,0,39,9,9,0.2,15
random_threshold,1,S5,5,37,13,d,0.33666666666666667,14
random_budget_aware,0,S0,0,285,5,5,0.39666666666666667,16
random_budget_aware,0,S5,5,243,6,6,0.19666666666666666,16
random_budget_aware,1,S0,0,308,9,9,0.2,15
random_budget_aware,1,S5,5,238,5,5,0.14,16
guided_raw,0,S0,0,1202,6,6,1.0,1
guided_raw,0,S5,5,1464,8,8,1.0,1
guided_raw,1,S0,0,1148,8,8,1.0,1
guided_raw,1,S5,5,1420,14,e,1.0,1
guided_threshold,0,S0,0,1202,6,6,1.0,1
guided_threshold,0,S5,5,1464,8,8,1.0,1
guided_threshold,1,S0,0,1148,8,8,1.0,1
guided_threshold,1,S5,5,1420,14,e,1.0,1
guided_budget_aware,0,S0,0,481,6,6,1.0,1
guided_budget_aware,0,S5,5,586,8,8,0.8433333333333334,14
guided_budget_aware,1,S0,0,459,8,8,0.9966666666666667,2
guided_budget_aware,1,S5,5,568,14,e,0.9866666666666667,5
