pipeline,key_id,K32_0_guess,K32_5_guess,joint_guess_hex,joint_sei
random_raw,0,0,0,00,0.0049638018672919434
random_raw,0,0,1,01,0.0030106768672919434
random_raw,0,0,2,02,0.0028970601775412507
random_raw,0,0,3,03,0.0034543229891755996
random_raw,0,0,4,04,0.003172986424078647
random_raw,0,0,5,05,0.0035138364933307246
random_raw,0,0,6,06,0.0038763278368210293
random_raw,0,0,7,07,0.0032595515210315554
random_raw,0,0,8,08,0.003048549097208841
random_raw,0,0,9,09,0.0034110404406991457
random_raw,0,0,10,0a,0.003243320565352885
random_raw,0,0,11,0b,0.003264961839591112
random_raw,0,0,12,0c,0.0028700085847434666
random_raw,0,0,13,0d,0.0025129275598127186
random_raw,0,0,14,0e,0.003248730883912442
random_raw,0,0,15,0f,0.003670735731557871
random_raw,0,1,0,10,0.004090420524212409
random_raw,0,1,1,11,0.0021372955242124087
random_raw,0,1,2,12,0.002023678834461716
random_raw,0,1,3,13,0.002580941646096065
random_raw,0,1,4,14,0.002299605080999112
random_raw,0,1,5,15,0.00264045515025119
random_raw,0,1,6,16,0.0030029464937414946
random_raw,0,1,7,17,0.0023861701779520207
random_raw,0,1,8,18,0.0021751677541293063
random_raw,0,1,9,19,0.002537659097619611
random_raw,0,1,10,1a,0.00236993922227335
random_raw,0,1,11,1b,0.0023915804965115774
random_raw,0,1,12,1c,0.001996627241663932
random_raw,0,1,13,1d,0.0016395462167331839
random_raw,0,1,14,1e,0.0023753495408329072
random_raw,0,1,15,1f,0.0027973543884783365
random_raw,0,2,0,20,0.004570386847886748
random_raw,0,2,1,21,0.002617261847886748
random_raw,0,2,2,22,0.002503645158136055
random_raw,0,2,3,23,0.003060907969770404
random_raw,0,2,4,24,0.002779571404673451
random_raw,0,2,5,25,0.003120421473925529
random_raw,0,2,6,26,0.0034829128174158337
random_raw,0,2,7,27,0.00286613650162636
random_raw,0,2,8,28,0.0026551340778036454
random_raw,0,2,9,29,0.00301762542129395
random_raw,0,2,10,2a,0.002849905545947689
random_raw,0,2,11,2b,0.0028715468201859166
random_raw,0,2,12,2c,0.002476593565338271
random_raw,0,2,13,2d,0.002119512540407523
random_raw,0,2,14,2e,0.0028553158645072464
random_raw,0,2,15,2f,0.0032773207121526756
random_raw,0,3,0,30,0.006155849376089687
random_raw,0,3,1,31,0.004202724376089687
random_raw,0,3,2,32,0.004089107686338994
random_raw,0,3,3,33,0.004646370497973343
random_raw,0,3,4,34,0.00436503393287639
random_raw,0,3,5,35,0.004705884002128467
random_raw,0,3,6,36,0.005068375345618772
random_raw,0,3,7,37,0.004451599029829298
random_raw,0,3,8,38,0.0042405966060065844
random_raw,0,3,9,39,0.004603087949496889
random_raw,0,3,10,3a,0.004435368074150628
random_raw,0,3,11,3b,0.004457009348388856
random_raw,0,3,12,3c,0.004062056093541209
random_raw,0,3,13,3d,0.0037049750686104616
random_raw,0,3,14,3e,0.004440778392710185
random_raw,0,3,15,3f,0.004862783240355615
random_raw,0,4,0,40,0.004885118863410904
random_raw,0,4,1,41,0.0029319938634109043
random_raw,0,4,2,42,0.0028183771736602116
random_raw,0,4,3,43,0.0033756399852945605
random_raw,0,4,4,44,0.0030943034201976077
random_raw,0,4,5,45,0.0034351534894496855
random_raw,0,4,6,46,0.00379764483293999
random_raw,0,4,7,47,0.0031808685171505163
random_raw,0,4,8,48,0.002969866093327802
random_raw,0,4,9,49,0.0033323574368181066
random_raw,0,4,10,4a,0.0031646375614718457
random_raw,0,4,11,4b,0.003186278835710073
