top_fraction,all_tasks_meet_minimum_count,robust_task_count,unique_task_count,mean_loso_consensus,median_relative_margin,mean_selected_ciphertext_count
0.05,False,1,4,0.5625,0.17720167746854754,33.5
0.075,False,1,4,0.5625,0.06641960741635985,50.5
0.1,False,2,4,0.5625,0.034671235292571795,67.0
0.15,False,2,4,0.5625,0.1846838852683178,100.5
0.2,False,2,4,0.625,0.27312746807724386,134.5
0.3,True,0,4,0.3125,0.08621410935320195,201.25
0.4,True,1,4,0.4375,0.10915539826992345,268.5
0.5,True,0,4,0.3125,0.029494451643970437,335.25
0.65,True,0,4,0.3125,0.06438087151938562,436.0
0.8,True,0,4,0.125,0.03727639736310249,536.5
1.0,True,2,4,0.5625,0.21940951346211784,671.0
