top_fraction,all_tasks_meet_minimum_count,robust_task_count,unique_task_count,mean_loso_consensus,median_relative_margin,mean_selected_ciphertext_count
0.05,False,0,3,0.4375,0.1528403472145919,42.75
0.075,False,0,4,0.3125,0.05786298949576917,64.0
0.1,False,2,4,0.5625,0.19564807004380128,85.25
0.15,False,3,4,0.625,0.19949804166775223,128.5
0.2,True,2,4,0.625,0.08924868728557593,170.75
0.3,True,0,4,0.3125,0.05586150552845335,256.25
0.4,True,1,4,0.5,0.17073090303539928,341.75
0.5,True,3,4,0.625,0.09676251012988898,427.25
0.65,True,3,4,0.6875,0.13686923263079984,555.25
0.8,True,0,4,0.3125,0.09207041540132299,683.5
1.0,True,0,4,0.3125,0.112094121792913,854.25
