attack_type,mean_bootstrap_true_winner_fraction,mean_joint_true_rank,mean_loso_consensus,mean_normalized_aurc,mean_true_rank,median_first_persistent_rank1_checkpoint,median_true_rank,pipeline,rank1_joint_8bit_count,rank1_nibble_count,total_fault_attempt_budget_per_task
SEFA,1.0,1.0,1.0,1.34765625,1.0,1000.0,1.0,sefa_guided_budget,2,4,8000
SEFA,1.0,1.0,1.0,1.265625,1.0,375.0,1.0,sefa_guided_raw,2,4,8000
SEFA,1.0,1.0,1.0,1.265625,1.0,375.0,1.0,sefa_guided_threshold,2,4,8000
SEFA,0.185,5.5,0.375,4.91015625,2.5,5500.0,1.5,sefa_random_budget,0,2,8000
SEFA,0.0983333333333333,40.5,0.375,5.08984375,4.25,8000.0,5.0,sefa_random_raw,0,1,8000
SEFA,0.1758333333333333,14.0,0.6875,7.98046875,2.75,6000.0,2.5,sefa_random_threshold,0,1,8000
SHFA,1.0,1.0,1.0,1.421875,1.0,1000.0,1.0,shfa_guided_budget,2,4,8000
SHFA,1.0,1.0,1.0,1.25390625,1.0,250.0,1.0,shfa_guided_raw,2,4,8000
SHFA,1.0,1.0,1.0,1.25390625,1.0,250.0,1.0,shfa_guided_threshold,2,4,8000
SHFA,0.5108333333333334,1.5,0.875,5.15234375,1.25,6000.0,1.0,shfa_random_budget,1,3,8000
SHFA,0.11083333333333334,19.5,0.3125,7.4453125,3.0,,2.5,shfa_random_raw,0,0,8000
SHFA,0.42916666666666664,2.0,0.625,6.046875,1.5,4500.0,1.5,shfa_random_threshold,0,2,8000
SIFA,1.0,1.0,1.0,1.73828125,1.0,1750.0,1.0,sifa_guided_budget,2,4,8000
SIFA,1.0,1.0,1.0,1.2734375,1.0,375.0,1.0,sifa_guided_raw,2,4,8000
SIFA,1.0,1.0,1.0,1.2734375,1.0,375.0,1.0,sifa_guided_threshold,2,4,8000
SIFA,0.455,2.0,0.875,5.0625,1.5,6000.0,1.0,sifa_random_budget,1,3,8000
SIFA,0.0875,26.5,0.4375,9.3203125,3.5,,3.5,sifa_random_raw,0,0,8000
SIFA,0.4191666666666667,3.5,0.75,5.7734375,1.5,7000.0,1.5,sifa_random_threshold,0,2,8000
